category,tossup_type,tossup_question,tossup_answer,bonus_type,bonus_question,bonus_answer,parent_packet
Biology,Short Answer,What name is given to the specialized cotyledons in grasses such as maize and wheat?,SCUTELLUM ,Multiple Choice,Which of the following best explains the function of guide RNA in CRISPR? W) They modify the genomic DNAs histones X) They form Watson-Crick base pairs with genomic DNA. Y) Takes a long mRNA strand to help recognize it’s genomic target Z) They recruit an exonuclease to find genomic DNA,X) THEY FORM WATSON-CRICK BASE PAIRS WITH GENOMIC DNA,NSBA
Math,Multiple Choice,A triangle is inscribed in a circle such that it contains the center of the circle within its area. Which of the following must be true regarding the triangle? W) It is acute X) It is obtuse Y) It is scalene Z) It is isosceles,W) IT IS ACUTE ,Multiple Choice,"The Lucas sequence is defined as L0 (l-sub-0) equals 2, L1 (l- sub-1) equals 1, and Ln = Ln - 1 + Ln - 2 for all n ≥ 2. What is the remainder when the 40th Lucas number, L40, is divided by 11? W) 1 X) 2 Y) 3 Z) 4",X) 2,NSBA
Earth and Space,Multiple Choice,The area of sea ice in the arctic is at a minimum in which of the following months? W) January X) April Y) September Z) December,Y) SEPTEMBER ,Short Answer,A secondary mirror reflects light back through a hole in the primary mirror in what kind of telescope arrangement?,"CASSEGRAIN FOCUS (ACCEPT: CASSEGRAIN REFLECTOR, CASSEGRAIN",NSBA
Physics,Multiple Choice,Which of the following statements is true about a capacitor? W) Voltage leads current by 90° X) Voltage lags current by 90° Y) Voltage leads power by 90° Z) Voltage lags power by 90°,W) VOLTAGE LEADS CURRENT BY 90° ,Short Answer,What is the term for the Fourier transform of a Bravais lattice?,RECIPROCAL LATTICE,NSBA
Biology,Short Answer,Identify all of the following 3 bacteria that would cause the release of interferons when infecting a human cell: 1) E coli; 2) M tuberculosis; 3) H Pylori.,NONE ,Multiple Choice,Which of the following compounds is NOT involved in the phospholipase C signal transduction pathway? W) IP3 X) PIP2 Y) DAG Z) cAMP,Z) cAMP,NSBA
Math,Short Answer,How many intersections do the functions floor of x and ceiling of x have over the closed interval from 0 to 2pi?,7 ,Short Answer,"What is the area of the region enclosed by the x-axis, the curve y = square root of quantity 32 minus x2, and y = 4?",8PI PLUS 16,NSBA
Earth and Space,Multiple Choice,Which of the following plates does not directly border the South American plate? W) Cocos plate X) Nazca plate Y) Caribbean plate Z) Scotia plate,W) COCOS PLATE ,Short Answer,Identify all of the following 3 regions of a galaxy that have a high abundance of stars with high metallicity: 1) Disk; 2) Halo; 3) Spiral arms.,1 AND 3,NSBA
Chemistry,Short Answer,The fact that the transition state of an exothermic reaction resembles the products more than the reactants is best explained by what statement?,HAMMOND’S POSTULATE ,Short Answer,How many sp2 hybridized nitrogen atoms are present in quinoline?,1,NSBA
Physics,Short Answer,"What phenomenon can be visualized by plotting the magnetization vs applied magnetic field intensity, forming a loop that shows the ferromagnet’s dependence on its history?",HYSTERISIS ,Short Answer,Identify all of the following 3 interactions that are mediated by the W+ boson: 1) Alpha decay; 2) Beta decay of proton; 3) Beta decay of neutron.,2 ONLY,NSBA
Biology,Multiple Choice,Which of the following species and environments is NOT an example of keystone species? W) Kangaroos in savannas X) Sea Stars in intertidal environments Y) Wolves in forests Z) Otters in kelp forests,W) KANGAROOS IN SAVANNAS ,Multiple Choice,Which of the following cranial nerves is considered both a motor and a sensory nerve? W) Oculomotor X) Trochlear Y) Trigeminal Z) Abducens,Y) TRIGEMINAL,NSBA
Math,Short Answer,What is the limit as x approaches 3 of the fraction with numerator x2 + 5x - 24 and denominator x2 - 5x + 6?,11 ,Short Answer,"Find the cosine of the largest angle in a triangle with side lengths of 4, 13, and 15.",-5/13,NSBA
Earth and Space,Short Answer,Identify all of the following 3 planets that have a ring system: 1) Mars; 2) Jupiter; 3) Neptune.,2 AND 3 ,Short Answer,"What structures, the largest known structures in the universe, consist of walls of superclusters between cosmic voids?",FILAMENTS (ACCEPT: GALAXY FILAMENTS),NSBA
Chemistry,Multiple Choice,Which of the following bonds has the most p character? W) Carbon-hydrogen single X) Carbon-carbon single Y) Carbon-carbon double Z) Carbon-carbon triple,Z) CARBON-CARBON TRIPLE ,Multiple Choice,For which of the following reactions does the equilibrium constant increase with temperature? W) Dimerization of NO2 X) Decomposition of NH3 Y) Combustion of CH4 Z) Hydrogenation of benzene,X) DECOMPOSITION OF NH3,NSBA
Energy,Multiple Choice,Scientists at Fermilab are using bash to interact with computers. Which of the following bash commands is used to navigate between different folders on a computer? W) cd X) du Y) nano Z) touch,W) cd ,Short Answer,"Researchers at Ames National Lab are using Monte Carlo simulations with Nvidia CUDA to confirm the veracity of Lennard-Jones models for molecules in a microporous framework. According to the Lennard-Jones potential, the strength of London Dispersion forces is proportional to what power of distance?",–7,NSBA
Physics,Short Answer,Identify all of the following 3 individual transformations that preserve the laws of physics: 1) Charge conjugation; 2) Parity transformation; 3) Time reversal.,NONE ,Multiple Choice,The pressure drop of an incompressible Newtonian fluid in laminar flow through a cylindrical pipe is proportional to what power of the pipe’s radius? W) -4 X) -2 Y) 2 Z) 4,W) -4 (Note: Hagen–Poiseuille equation),NSBA
Biology,Short Answer,What defining process in adaptive immunity uses genetic fragments randomly rearranged and joined through non-homologous end joining to produce T cell receptors?,"VDJ RECOMBINATION (ACCEPT: VJ RECOMBINATION) [DJ, VDJ 
RECOMBINATION]",Short Answer,Identify all of the following 3 cell types that you would expect to find suberin: 1) Periderm; 2) Bundle sheath cells; 3) Root endodermis.,1 AND 3,NSBA
Math,Multiple Choice,"Geoffrey can mow a lawn in 15 hours, and Sanjay can mow the same lawn in 10 hours. How many hours would it take for the two of them to mow the lawn together? W) 5 X) 5.4 Y) 6 Z) 7.2",Y) 6 ,Short Answer,"An ant starts at one vertex of a tetrahedron. Every second, it chooses another vertex to go to at random. What is the probability that the ant is back at the starting vertex after 4 seconds?",7/27,NSBA
Earth and Space,Multiple Choice,What type of stream only flows for a short duration directly after precipitation? W) Ephemeral X) Intermittent Y) Perennial Z) Straight channel,W) EPHEMERAL ,Short Answer,Identify all of the following 3 organisms whose shells compose siliceous ooze: 1) Radiolarians; 2) Diatoms; 3) Coccolithophores.,1 and 2,NSBA
Chemistry,Short Answer,"Identify all of the following 3 molecular orbitals that have 2 nodal planes: 1) LUMO of ethylene; 2) LUMO of O2; 3) HOMO of 1,3 butadiene.",1 and 3 ,Short Answer,Identify all of the following 3 types of pericyclic reactions that result in a net increase in the number of sigma bonds: 1) Cycloaddition; 2) Electrocyclic; 3) Sigmatropic.,1 AND 2,NSBA
Energy,Multiple Choice,Scientists at Brookhaven National Lab are using gel electrophoresis to obtain high-quality separation and purification of proteins. Which of the following buffers is most commonly used in gel electrophoresis? W) Phosphate X) MOPS Y) HEPES Z) Tris,Z) TRIS ,Short Answer,Scientists at Oakridge National Lab are investigating Moore’s Law by trying to redesign certain circuit components. What device allows for the conversion of 2n input lines into a single output line?,MULTIPLEXER (ACCEPT: MUX),NSBA
Physics,Multiple Choice,"An object that is constrained to the x axis experiences a constant acceleration of +10 meters per second squared over a period of time where it has a displacement of 20 meters. In meters per second squared, what is the maximum change in speed of the object? W) 10 X) 20 Y) 30 Z) 40",X) 20 ,Short Answer,Identify all of the following 3 modes of polarization that have 2 perpendicular polarization planes: 1) Linear; 2) Circular; 3) Elliptical.,2 AND 3,NSBA
Biology,Multiple Choice,Which of the following best describes the blood of the pulmonary circuit in the mammalian circulatory system before it goes into gas exchange tissues? W) CO2 rich and O2 rich X) CO2 rich and O2 poor Y) CO2 poor and O2 rich Z) CO2 poor and O2 poor,X) CO2 RICH AND O2 POOR ,Short Answer,"After 4 cycles of PCR, how many strands have the exact same length as the target sequence?",4,NSBA
Math,Short Answer,What is the maximum value from x = 0 to x = 2pi of sin(x) + 2cos(x)?,ROOT 5 ,Short Answer,Geoffrey the code monkey prints the integers from 1 to 2022. How many times did he print the digit 0?,525,NSBA
Earth and Space,Multiple Choice,Which of the following individual modifications to a telescope will quadruple its light gathering power? W) Halving the eyepiece diameter X) Doubling the eyepiece diameter Y) Halving the objective diameter Z) Doubling the objective diameter,Z) DOUBLING THE OBJECTIVE DIAMETER ,Short Answer,"Though molybdenum is commercially produced from the sulfide ore molybdenite, it can also be produced through what lead containing oxide ore?",WULFENITE,NSBA
Physics,Short Answer,"A 3 ohm external resistor is connected to a 14 volt battery with an internal resistance of 4 ohms. In watts, what is the power dissipated by the resistor?",12 ,Short Answer,Identify all of the following three interactions which must conserve strangeness: 1) Strong; 2) Weak; 3) Electromagnetic,1 AND 3,NSBA
Biology,Short Answer,The majority of glucose-6-phosphate in the body is produced by what enzyme?,HEXOKINASE ,Multiple Choice,Which of the following organisms has the most stable internal osmolarity? W) Striped bass X) Camel Y) Atlantic lobster Z) Salmon,Y) ATLANTIC LOBSTER,NSBA
Math,Short Answer,"The three real numbers a, b, c form both an arithmetic and a geometric sequence. If a = 28, then what is the value of c?",28 ,Short Answer,"A line with a slope of 2 is graphed on the cartesian plane. If the line is rotated by 45 degrees counter-clockwise about the origin, what is the new slope of the line?",-3,NSBA
Earth and Space,Multiple Choice,Which of the following is closest to the speed of a gravitational wave in terms of c? W) 0.4c X) 0.6c Y) 0.8c Z) c,Z) C ,Short Answer,Identify all of the following three rocks that have a phaneritic texture. 1) Granite; 2) Basalt; 3) Gabbro,1 AND 3,NSBA
Chemistry,Short Answer,"Elemental boron at standard temperature and pressure forms an icosahedral structure. If each boron-boron bond has an enthalpy of formation of 300 kJ/mol, what is the standard molar enthalpy of formation of icosahedral boron?",0 ,Multiple Choice,"Which of the following best describes the characters of the sigma and sigma-star orbitals in HF? W) Sigma has F-character, Sigma-star has H-character X) Sigma has H-character, Sigma-star has F-character Y) Both sigma and sigma-star have F-character Z) Both sigma and sigma-star have H-character","W) SIGMA HAS F-CHARACTER, SIGMA-STAR HAS H-CHARACTER",NSBA
Energy,Multiple Choice,"Researchers at Pacific Northwest National Lab are studying nuclear waste drainage by modeling the behavior as a laminar flow. Which of the following best describes Laminar flow? W) Low velocity, low Reynolds number X) Low velocity, high Reynolds number Y) High velocity, low Reynolds number Z) High velocity, high Reynolds number",W) LOW VELOCITY AND LOW REYNOLDS NUMBER ,Multiple Choice,Researchers at Ames National Lab have been employing platinum nanoparticle based catalysts in the recycling of polyolefin plastics. Which of the following combinations of carbon chain lengths and nanoparticle diameters would result in the fastest reaction? W) Small chain and small nanoparticle X) Small chain and large nanoparticle Y) Large chain and small nanoparticle Z) Large chain and large nanoparticle,Z) LARGE CHAIN LARGE NANOPARTICLE,NSBA
Physics,Multiple Choice,"Suppose that a region has a coefficient of static friction equal to its coefficient of kinetic friction. Which of the following best describes the shape of a graph of the applied force vs. the frictional force acting on the block? W) Straight line with nonzero slope X) Horizontal straight line Y) Diagonal straight line, followed by horizontal line Z) Diagonal straight line, followed by vertical line","Y) DIAGONAL STRAIGHT LINE, FOLLOWED BY HORIZONTAL LINE [GW, 
Forces]",Short Answer,"On a 2-dimensional space-time diagram, identify all of the following three points that lie inside the light-cone of an observer located at the origin. 1) (1, 0.5); 2) (-1,-2); 3) (2, -1).",2 ONLY,NSBA
Biology,Multiple Choice,"Humans and dogs each contain a gene coding for the cytochrome c protein in their genome. However, the sequence of nucleotides in each gene differs. Which of the following best describes the relationship between the cytochrome c genes in humans and dogs? W) Orthologous X) Paralagous Y) Homoplasy Z) Anaplasy",W) ORTHOLOGOUS ,Short Answer,The Ti plasmid is the most commonly used vector for introducing new genes into plant cells. This plasmid originates from what genus of bacteria?,AGROBACTERIUM,NSBA
Math,Short Answer,"In radians, what is the value of the inverse cotangent of the square root of 3?",π/6 ,Short Answer,"A bug is situated at the origin of the Cartesian plane. Each minute, the bug randomly moves 1 unit left, right, up, or down with equal probability. What is the probability that the bug will be exactly one unit away from the origin after 3 minutes?",9/16,NSBA
Earth and Space,Short Answer,Order the following three features in increasing distance from the coastline. 1) Continental shelf; 2) Continental slope; 3) Continental rise.,"1, 2, 3 ",Short Answer,"A rapidly rotating star of 20 solar masses collapses such that it emits intense radiation and gas along its axis of rotation. What type of stellar explosion, which is the result of an extreme core-collapse scenario, would most likely be the result of this process?",HYPERNOVA,NSBA
Chemistry,Short Answer,"When a semiconductor is doped with p-type dopants, it results in the formation of what quasiparticles that represent the absence of electrons?",ELECTRON HOLES (ACCEPT: HOLES) ,Multiple Choice,"Which of the following energies, in joules, is closest to the cutoff energy of a gamma ray? W) 10-22 X) 10-18 Y) 10-14 Z) 10-10",Y) 10-14,NSBA
Energy,Short Answer,"Researchers at Argonne National Lab are using the Advanced Photon Source to study mutation developments in SARS-CoV-2 to better learn how to target specific immune cells in vaccines that secrete antibodies. In mRNA based vaccines, what lymphocyte is induced, that matures in the bone marrow?",B CELLS ,Short Answer,"Researchers at Argonne National Lab are studying the levels of conductivity during phase changes. The researchers found that under certain conditions, a magnetic state of matter is formed where the electron spin causes an insulating property. What is the term for this magnetic property stemming from an antiparallel electron spin alignment?",ANTIFERROMAGNETISM,NSBA
Physics,Short Answer,Suppose that a spring’s displacement is increased by 50%. By what percent is the potential energy stored in the spring increased?,125 ,Short Answer,"Four particles with charges of 2 Coulombs each are placed in a square with a side length of 3 centimeters. To one significant figure, and in scientific notation, what is the force on one of the charges due to the other three charges?",8*1013,NSBA
Biology,Multiple Choice,Phytochromes are photoreceptors that absorb which of the following colors of light most intensely? W) Green X) Blue Y) Yellow Z) Red,Z) RED ,Short Answer,"Identify all of the following three statements that are true concerning action potentials. 1) They generally occur after a hyperpolarization; 2) Their magnitude is independent of the strength of the stimulus; 3) Immediately after an action potential, the membrane potential hyperpolarizes.",2 AND 3,NSBA
Math,Multiple Choice,Which of the following primes can NOT be represented as the sum of 2 squares? W) 197 X) 211 Y) 241 Z) 277,X) 211 ,Short Answer,Simplify the fraction with numerator 2 + i and denominator 3 + i.,7/10 + 1/10i,NSBA
Earth and Space,Short Answer,Identify all of the following three locations at which the salinity of shallow water increases with increasing depth. 1) Tropics; 2) Poles; 3) Equator,2 ONLY ,Short Answer,Identify all of the following three properties of a rock that metasomatism can change: 1) Foliation; 2) Chemical composition; 3) Water content.,ALL,NSBA
Chemistry,Multiple Choice,Which of the following is FALSE regarding the azeotrope formed by a 20% concentration of HCl and an 80% concentration of water? W) It is a negative azeotrope X) It is a maximum boiling azeotrope Y) It has a negative enthalpy of mixing Z) It has a higher vapor pressure than predicted by Raoult’s law,"Z) IT HAS A HIGHER VAPOR PRESSURE THAN PREDICTED BY RAOULT’S 
LAW ",Short Answer,A primary alcohol undergoes acid-catalyzed dehydration to form an ether. Identify all of the following three numbers that could be the number of carbon atoms in the major product of the reaction. 1) 5; 2) 6; 3) 7.,2 ONLY,NSBA
Energy,Short Answer,"Researchers at Argonne National Lab have been tracking the production and usage of several fuel additives, in order to find one more environmentally available. What biofuel additive is likely being studied, that is synthesized from corn and cane?",ETHANOL ,Short Answer,"Scientists at SLAC national labs have been studying the formation of a state of matter believed to exist at the cores of giant planets. What regime are they studying, which exists between condensed matter and hot plasma?",WARM-DENSE MATTER (ACCEPT: WDM),NSBA
Physics,Short Answer,Identify all of the following 3 types of scattering that are elastic: 1) Rayleigh; 2) Raman; 3) Compton.,1 ONLY ,Short Answer,"A rocket starts from rest and expels exhaust at a velocity of 2000 meters per second. The rocket loses 1% of its mass in the first second of launching. In meters per second squared, what is the rocket’s acceleration at the instance it starts expelling exhaust?",20,NSBA
Biology,Short Answer,Identify all of the following 3 animals that have an alimentary canal: 1) Earthworm; 2) Cockroach; 3) Flatworm.,"1, 2 ",Short Answer,"In plant cells, actin-myosin interactions and sol-gel transformations induce a circular flow of cytosol within cells. What name is given to this movement?",CYTOPLASMIC STREAMING,NSBA
Math,Multiple Choice,"What is the maximum number of negative roots that the polynomial x10 – 3x9 + x6 – x3 + x can have, according to Descartes’ rule of signs? W) 4 X) 3 Y) 2 Z) 1",Z) 1 ,Multiple Choice,How many 3 digit positive integers have their middle digit as their uniquely largest digit? W) 180 X) 200 Y) 220 Z) 240,Z) 240,NSBA
Earth and Space,Multiple Choice,The presence of molecular clouds in the Milky Way can be identified most easily by spectral line emission from which of the following compounds? W) Carbon dioxide X) Methane Y) Carbon monoxide Z) Hydrogen,Y) CARBON MONOXIDE ,Short Answer,What is the name of the location in the HR-diagram at which protostars lose their cocoons and become detectable at visible wavelengths?,BIRTH LINE,NSBA
Physics,Short Answer,An object’s position as a function of time is described by x(t) = 4t3 – 5t. What is its velocity at time t = 3?,103 ,Short Answer,What theorem states that the rotation of an object is unstable about its principal axis that has neither the largest nor smallest associated moment of inertia?,"INTERMEDIATE AXIS THEOREM (ACCEPT: TENNIS RACKET THEOREM,",NSBA
Biology,Short Answer,Identify all of the following 3 cells that are glial cells: 1) Ependymal cells; 2) Astrocytes; 3) Chondrocytes.,1 AND 2 ,Short Answer,People with PKU are deficient in an enzyme that converts phenylalanine to what other amino acid?,TYROSINE,NSBA
Math,Multiple Choice,Which of the following functions is injective over its entire domain? W) log X) sin Y) tan Z) absolute value,W) log ,Short Answer,Evaluate the cross-product of the two vectors 3i + 4j and 3i – 5k.,-20i + 15j – 12k,NSBA
Earth and Space,Short Answer,Explosive volcanic eruptions can expel fast-moving currents of gas and tephra. This is known as what type of flow?,PYROCLASTIC FLOW (ACCEPT: NUEE ARDENTE) ,Short Answer,What current carries icy water northward from Antarctica and is responsible for the creation of deserts near the coast of Chile?,HUMBOLDT CURRENT (ACCEPT: PERU CURRENT),NSBA
Chemistry,Short Answer,Rank the following 3 molecules in order of increasing bond angle through the central atom: 1) H2O; 2) NH3; 3) OF2.,"3, 1, 2 ",Short Answer,"At a particular temperature, the autoionization constant of water is 10-12. If an acid has a Ka of 10-5 at that temperature, what is the pOH of the solution when 1 mole of the acid is stirred in 100 ml of water?",10,NSBA
Energy,Short Answer,Researchers at Argonne National Lab are using bioactive scaffold injections in paralyzed mice to regenerate axons in damaged spinal cords. Action potentials in axons are initiated in what cone-shaped structure?,HILLOCK (ACCEPT: AXON HILLOCK) ,Multiple Choice,Researchers at Lawrence Livermore National Lab are studying statistical mechanical methods to create a stable cryptocurrency using SHA256. Which of the following is closest to the total number of possible hashes in SHA256? W) 1077 X) 1078 Y) 1079 Z) 1080,W) 1077,NSBA
Physics,Multiple Choice,"In kilopascals, which of the following is closest to the change in pressure of water traveling through a pipe, if its speed doubles from 10 to 20 meters per second and its height remains constant? W) 100 X) 150 Y) 300 Z) 400",X) 150 ,Multiple Choice,Two identical uniform hollow spheres each have a radius of R and are touching each other. The gravitational force of attraction between the spheres is proportional to what power of R? W) 0 X) 2 Y) 4 Z) 6,X) 2,NSBA
Biology,Short Answer,Identify all of the following 3 features that are characteristic of dicots: 1) Parallel leaf venation; 2) Fibrous root system; 3) Scattered vascular tissue.,NONE ,Short Answer,What name is given to the body cavity of most invertebrates that contains its blood or hemolymph?,HEMOCOEL,NSBA
Math,Short Answer,"What is the length of a line segment that has an endpoint at (1, 1, 1) and another endpoint at (3, 4, 7)?",7 ,Short Answer,"In interval notation, what is the range of the rational function f(x) = 2x / (x2 + 1) [read as: f of x equals the fraction with numerator 2x and denominator x squared plus 1]?",,NSBA
Earth and Space,Short Answer,Identify all of the following three minerals that can undergo weathering by dissolution: 1) Halite; 2) Dolomite; 3) Quartz.,1 AND 2 ,Short Answer,"What features, known as filaments when viewed against the solar disk, are loops of plasma on the Sun’s surface that are anchored to the photosphere?",PROMINENCES (ACCEPT: SOLAR PROMINENCES),NSBA
Chemistry,Short Answer,Identify all of the following three types of solid materials whose conductivities increase with increasing temperature: 1) Insulator; 2) Conductor; 3) Semiconductor.,1 AND 3 ,Multiple Choice,Which of the following compounds has the smallest pKa in water? W) Acetone X) Propanal Y) Ethanol Z) Nitromethane,Z) NITROMETHANE,NSBA
Energy,Multiple Choice,Researchers at Brookhaven National Lab are studying the acidity of intracellular environments. Which of the following buffer systems would they most likely be studying? W) Bicarbonate X) Phosphate Y) Malate Z) Citrate,X) PHOSPHATE ,Short Answer,"Researchers at Brookhaven National Lab are using the Relativistic Heavy Ion Collider to track how certain jets of particles lose energy through various mediums. What medium is formed from the removal of strong nuclear attractions between particles, causing the particles to be deconfined?",QUARK-GLUON PLASMA (ACCEPT: QGP),NSBA
Physics,Short Answer,"What term, which equals epsilon_naught times the time derivative of the electric field in a non-polarizable medium, was added by James Maxwell to Ampere’s law?",DISPLACEMENT CURRENT ,Short Answer,A 5-kilogram mass is moving at 6 meters per second to the right when it collides perfectly elastically with a stationary 7-kilogram mass. What is the speed of the 7-kilogram mass at the end of the collision?,5 METERS PER SECOND,NSBA
Biology,Short Answer,"Identify all of the following 3 vitamins, whose deficiency can cause anemia: 1) Folate; 2) Cobalamin; 3) Calciferol.",ALL ,Short Answer,Identify all of the following 3 cells that can express Class II MHCs: 1) Dendritic cells; 2) Cytotoxic T cells; 3) B cells,1 AND 3,NSBA
Math,Short Answer,"If x is a real number, then what is the magnitude of the complex number e2ix?",1 ,Short Answer,"Given 2 red hats, 2 blue hats, and 1 green hat, how many ways are there to arrange the hats in a row such that the red hats are not next to each other and the blue hats are not next to each other?",12,NSBA
Earth and Space,Multiple Choice,Which of the following drainage patterns would form on ground with numerous vertical joints? W) Trellis X) Dendritic Y) Radial Z) Rectangular,Z) RECTANGULAR ,Short Answer,"To one significant figure, what is the Schwarzschild radius of a ball with a mass of 2 kilograms?",3 * 10-27 METERS,NSBA
Chemistry,Short Answer,Identify all of the following 3 compounds that can act as Lewis acids: 1) ZnCl2; 2) Xe; 3) BF3,1 AND 3 ,Multiple Choice,Which of the following species does NOT readily disproportionate in aqueous solution? W) Cl2 X) Cu+ Y) Fe2+ Z) N2O,Y) Fe2+,NSBA
