category,tossup_type,tossup_question,tossup_answer,bonus_type,bonus_question,bonus_answer,parent_packet
Energy,Multiple Choice,"DOE Researchers at Ames Lab have discovered that periodic vibrational motion may stabilize some currently unstable electron states, which can make advanced quantum computing possible. On a macroscopic level, what is the name for this periodic vibrational motion? W) Resonance X) Damping Y) Harmonic oscillation Z) Laminar flow",Y) HARMONIC OSCILLATION,Multiple Choice,"Researchers at CERN are running the Baryon Antibaryon Symmetry Experiment, or BASE, to look for differences between matter and antimatter. Which of the following particles is a baryon? W) Neutrino X) Positron Y) Electron Z) Proton",Z) PROTON,SBST
Physics,Short Answer,"A Carnot engine has a hot reservoir of 102 degrees Celsius and an efficiency of 40%. In degrees Celsius, what is the temperature of the cold reservoir?",–48,Short Answer,"A projectile is launched from the ground at a 45 degree angle. If it reaches a maximum height of 23 meters, what is its horizontal range in meters?",92,SBST
Biology,Short Answer,What is the largest structure in the nucleus of eukaryotic cells?,NUCLEOLUS,Short Answer,What enzyme participates in both the citric acid cycle and the electron transport chain?,COMPLEX 2 (ACCEPT: SUCCINATE DEHYDROGENASE; SUCCINATE,SBST
Math,Short Answer,What is the area of an isosceles right triangle with a hypotenuse of 6 times the square root of 2?,18,Short Answer,What is the greatest common factor of 350 and 518?,14,SBST
Chemistry,Short Answer,What is the general term for a substance that accelerates a chemical reaction by providing an alternate pathway for the reaction to occur?,CATALYST (DO NOT ACCEPT: ENZYME),Short Answer,Rank the following three ions in terms of increasing ionic radius: 1) Na+; 2) Al3+; 3) F–.,"2, 1, 3",SBST
Earth and Space,Multiple Choice,"Which of the following statements concerning plate tectonics is NOT true? W) Slab pull contributes much more driving force than ridge push X) In a collision between two oceanic plates, the older one sinks Y) Mid-ocean ridges are associated with asthenosphere upwelling Z) Continental plates are generally denser than oceanic plates","Z) CONTINENTAL PLATES ARE GENERALLY DENSER THAN OCEANIC 
PLATES",Short Answer,What oceanic layer is characterized by a rapid vertical change in density?,PYCNOCLINE,SBST
Physics,Short Answer,The frequency of a photon is directly related to its energy by what physical constant?,PLANCK’S CONSTANT,Short Answer,"An ideal Atwood machine has two blocks of masses 3 and 4 kilograms connected by a string on either side of a pulley. In meters per second squared, which of the following is the acceleration of the system? W) 0.7 X) 1.4 Y) 2.1 Z) 2.8",X) 1.4,SBST
Biology,Short Answer,Several types of non-Watson–Crick base pairing may occur during translation due to what phenomenon involving genetic code redundancy?,WOBBLE,Short Answer,Tracheids and vessel elements are components of what vascular tissue in plants?,XYLEM,SBST
Energy,Short Answer,Scientists at Pacific Northwest National Lab are working on improving the stability of qubits in quantum computers. Qubits can be represented as a linear combination of two states that are joined by what quantum mechanical principle?,SUPERPOSITION,Multiple Choice,Scientists at Sandia National Lab have developed a prototype for a cheaper device to perform magnetoencephalography. Which of the following best describes the function of magnetoencephalography? W) It probes the brain with a magnetic field and measures the rebound X) It probes the heart with a magnetic field and measures the rebound Y) It detects magnetic fields from the electrical signals in the brain Z) It detects magnetic fields from the electrical signals in the heart,Y) IT DETECTS MAGNETIC FIELDS FROM THE ELECTRICAL SIGNALS IN,SBST
Math,Multiple Choice,Which of the following polynomials has more than 4 roots? W) 6x2 + 11x – 17 X) x3 – 3x2 + 1 Y) 4x4 – 17x + 34 Z) x6 – 3,Z) x6 – 3,Short Answer,"A sequence has a sub 1 = 2, a sub 2 = 4, and a sub quantity n + 2 equals 3 times a sub quantity n + 1 minus a sub n for all positive integers n. What is a sub 5?",68,SBST
Chemistry,Multiple Choice,Which of the following unit cells has the lowest coordination number? W) Simple cubic X) Body-centered cubic Y) Face-centered cubic Z) Base-centered cubic,W) SIMPLE CUBIC,Short Answer,The variation of vapor pressure with temperature can be calculated using what equation?,CLAUSIUS-CLAPEYRON EQUATION,SBST
Chemistry,Multiple Choice,"When 1,3-butadiene is reacted with hydrogen bromide under high temperature, the 1,4-adduct is observed, while the 1,2-adduct is favored under low temperature conditions. Which of the following is NOT true regarding the mechanism for this reaction? W) The reactions become irreversible at high temperatures X) The bromide ion is closer to the second carbon than the fourth Y) The transition state of the 1,2-adduct is lower in energy than that of the 1,4-adduct Z) The reaction is said to be under kinetic control at low temperatures",W) THE REACTIONS BECOME IRREVERSIBLE AT HIGH TEMPERATURES,Short Answer,Rank the following three degrees of substitution in terms of increasing likelihood of attack in acid-catalyzed epoxide ring opening: 1) Primary; 2) Secondary; 3) Tertiary.,"2, 1, 3",SBST
Physics,Multiple Choice,The gyromagnetic ratio of a particle is the ratio of what two quantities? W) Angular momentum and magnetic field X) Spin and magnetic moment Y) G-factor and magnetic flux Z) Magnetic moment and angular momentum,Z) MAGNETIC MOMENT AND ANGULAR MOMENTUM,Short Answer,"Two ten-solar-mass black holes each have entropy S. If they merge, radiating 5% of their mass as gravitational waves, then to two decimal places and in terms of S, what will the entropy of the new black hole be?",3.61S,SBST
Biology,Multiple Choice,Phase 1 Korotkoff sounds detected by a sphygmomanometer are used to evaluate which of the following values? W) Diastolic pressure X) Systolic pressure Y) Pulse pressure Z) Mean arterial pressure,X) SYSTOLIC PRESSURE,Short Answer,Classify each of the following three molecules as activators or inhibitors of glycolysis: 1) ATP; 2) ADP; 3) AMP.,"INHIBITOR, ACTIVATOR, ACTIVATOR",SBST
Earth and Space,Multiple Choice,"Regulus, the alpha star of Leo, has poles that are significantly brighter than its equator. Which of the following best explains this phenomenon? W) Multiple large gas giants orbit Regulus, obscuring the equatorial plane and leading to darkening X) Regulus has a very strong quadrupole magnetic field, leading to magnetic darkening of its equator Y) Regulus spins extremely fast, leading to gravitational darkening of its equator Z) Regulus has many sunspots around the equator that obscure much of the surface","Y) REGULUS SPINS EXTREMELY FAST, LEADING TO GRAVITATIONAL 
DARKENING OF ITS EQUATOR",Multiple Choice,Which of the following rocks is ultrapotassic? W) Lamproite X) Rhyolite Y) Dacite Z) Tonalite,W) LAMPROITE,SBST
Math,Short Answer,Identify all of the following three sets that are bounded in the real numbers: 1) The set of all integers; 2) The set of all real numbers less than 6; 3) The set of primes less than 6.,3 ONLY,Short Answer,The polynomial x2020 – 1 is divided by x – 1 to yield a new polynomial. What is the sum of the cubes of the roots of this new polynomial?,–1,SBST
Energy,Short Answer,The SuperNova Early Warning System was established by scientists at Brookhaven National Lab to give advance notice to astronomers in the event of a nearby supernova. It triggers when multiple sites simultaneously detect what extrasolar messengers?,NEUTRINOS,Short Answer,"Los Alamos National Lab scientists are developing epidemiological models to predict the spread of COVID-19 and other diseases. Suppose a new virus emerges with a basic reproduction number of 2.5, meaning that an infected individual will generate an average of 2.5 new cases in a population where all members are susceptible. After being infected, a person recovers and becomes immune to the disease. Assuming a globally interconnected population of 8 billion, how many people will eventually be infected by the virus?",4.8 BILLION,SBST
Physics,Multiple Choice,"In position-momentum phase space, a simple harmonic oscillator will trace which of the following paths? W) Sinusoid X) Rectangle Y) Ellipse Z) Line",Y) ELLIPSE,Multiple Choice,"The Higgs mechanism causes spontaneous symmetry breaking of gauge symmetries, since the physical laws describing the system are symmetric while the ground state solutions are not. Which of the following is another example of spontaneous symmetry breaking? W) Cooling of a ferromagnet below its Curie temperature X) Stretching of a material beyond its elastic limit Y) Splitting of a crystal along cleavage planes Z) A bell ringing at its resonant frequency when struck",W) COOLING OF A FERROMAGNET BELOW ITS CURIE TEMPERATURE,SBST
Math,Multiple Choice,For which of the following n do the nonzero integers modulo n NOT form a group under multiplication? W) 2 X) 3 Y) 4 Z) 5,Y) 4,Short Answer,"What is the largest integer dollar value that you cannot make with an unlimited supply of $5, $12, and $13 notes?",$21,SBST
Energy,Short Answer,Scientists at Brookhaven National Lab are investigating modified desaturases that can perform dihydroxylation across a double bond in fatty acids. Identify all of the following three combinations of reagents that can be used for dihydroxylation across an alkene: 1) Osmium tetroxide followed by sodium bisulfite and water; 2) Peroxyacetic acid followed by sulfuric acid and water; 3) Dilute sulfuric acid in water.,1 AND 2,Short Answer,Researchers at Argonne National Lab are collaborating with scientists at Hokkaido University to study the Venusian atmosphere. Identify all of the following three statements regarding the Venusian atmosphere that are true: 1) The Venusian atmosphere rotates about sixty times as fast as its planetary rotation; 2) The most abundant gas in the Venusian atmosphere is nitrogen; 3) Convectional circulation occurs in large cells that extend from the equator to the poles.,1 AND 3,SBST
Chemistry,Short Answer,"Phenol is an industrially important chemical. In the first step of its production, benzene is treated with propene and phosphoric acid to form what intermediate?",CUMENE (ACCEPT: ISOPROPYLBENZENE),Multiple Choice,"Which of the following reaction conditions will generate the highest yield of conjugate adduct of an alpha-beta unsaturated ketone? W) Hard nucleophile, low temperature X) Hard nucleophile, high temperature Y) Soft nucleophile, low temperature Z) Soft nucleophile, high temperature","Z) SOFT NUCLEOPHILE, HIGH TEMPERATURE",SBST
Physics,Short Answer,"A square coil of side length 3 meters is moving at 2 meters per second into a uniform 6-tesla magnetic field. If the angle between the direction of the magnetic field and the normal vector of the plane of the coil is 60 degrees, then in volts, what is the induced emf [E-M-F] in the coil?",18,Short Answer,"Identify all of the following three statements that are true regarding type I superconductors: 1) Their London penetration depth is less than their superconducting coherence length; 2) They have a transition temperature zone where resistance slowly drops to zero; 3) They cannot be penetrated by magnetic fields, which results in the Meissner effect.",1 AND 3,SBST
Biology,Multiple Choice,"Which of the following conditions will allow aquaporins to exhibit maximum activity? W) Low pH, low calcium ion concentration X) Low pH, high calcium ion concentration Y) High pH, low calcium ion concentration Z) High pH, high calcium ion concentration","X) LOW PH, HIGH CALCIUM ION CONCENTRATION",Multiple Choice,Polyhistidine-tags are used by scientists in which of the following laboratory methods? W) Affinity chromatography X) Ion exchange chromatography Y) Gel filtration chromatography Z) Paper chromatography,W) AFFINITY CHROMATOGRAPHY,SBST
Earth and Space,Short Answer,The Gunn-Peterson trough is caused by the presence of what element in the intergalactic medium?,HYDROGEN (ACCEPT: NEUTRAL HYDROGEN or H I),Short Answer,Identify all of the following four astronomical events that have been observed as gamma ray burst progenitors: 1) Hypernova of a massive star; 2) Merger of two neutron stars; 3) Merger of two Schwartzchild [sh-WARTZ-shield] black holes; 4) Magnetar flare.,"1, 2 AND 4",SBST
Math,Short Answer,"What are the normalized barycentric coordinates of the centroid of a triangle ABC with AB = 5, BC = 12, and AC = 13?","(1/3, 1/3, 1/3)",Short Answer,The roots of x6 – 729 are mapped on the complex plane and then all of them are connected to make a convex polygon. What is the area of this polygon?,27 ROOT 3 OVER 2,SBST
Energy,Multiple Choice,Researchers at Los Alamos National Lab have created doped quantum dots that capture more light energy than normal quantum dots. Which of the following statements is true regarding quantum dots? W) A quantum dot that fluoresces blue is larger than one that fluoresces red X) UV light is commonly used to make quantum dots fluoresce Y) Phonons are created when electrons in the quantum dot dissociate from their electron holes Z) Electrons lose energy when going from the valence band to the conductance band,"X) UV LIGHT IS COMMONLY USED TO MAKE QUANTUM DOTS 
FLUORESCE",Short Answer,DOE researchers at the Joint Genome Institute have sequenced thousands of virophage genomes to determine their evolutionary history. Identify all of the following three statements that are true regarding this class of viruses: 1) They can only infect hosts already infected by a helper virus; 2) Their genomes are typically only a few hundred base pairs in length; 3) They help the recovery and survival of their host cells.,1 AND 3,SBST
Chemistry,Short Answer,Identify all of the following three molecules that are chiral: 1) Tartaric acid; 2) Methanol; 3) 2-methylbutane.,1 ONLY,Short Answer,"In an SN2 reaction between cyanide and methyl bromide, an electron pair from the HOMO of cyanide is donated into what specific orbital on methyl bromide?",CARBON-BROMINE SIGMA STAR (ACCEPT: C–Br SIGMA STAR; SIGMA,SBST
Biology,Short Answer,Social insects with intricate nests or colonies are most prone to what mode of mimicry?,WASMANNIAN,Multiple Choice,"In cation exchange chromatography, peptides with which of the following charges will travel the slowest down the matrix? W) –3 X) –1 Y) 0 Z) +1",Z) +1,SBST
Earth and Space,Short Answer,Brown dwarves can be identified from low-mass stars by the relatively high concentration of what element in their atmospheres?,LITHIUM,Short Answer,Rank the following four standard candles or relationships in terms of increasing distance calibration according to the cosmic distance ladder: 1) Type 1a supernovae; 2) Tully-Fisher Relation; 3) RR Lyrae variables; 4) Tip of red giant branch.,"3, 4, 2, 1",SBST
Math,Multiple Choice,"If one two squared in base b is two one zero, what is b? W) 3 X) 4 Y) 6 Z) 8",X) 4,Short Answer,"Paul has an infinite supply of 1-by-1, 1-by-2, 1-by-3, and 1-by-4 tiles. In how many ways can he completely tile his bathroom floor, which has dimensions of 1- by-8, if tiles must be entirely in the bathroom floor and tiles cannot overlap?",108,SBST
Earth and Space,Short Answer,The luminosity of a main sequence star is approximately proportional to what power of its mass?,3.5 (ACCEPT: 7/2),Short Answer,"Identify all of the following three statements that are true regarding the solar corona: 1) It is physically impossible for energy to be transferred from the photosphere to the corona by direct heat transfer; 2) When there are minimal sunspots on the photosphere, there are usually more than five coronal mass ejections per day; 3) Coronal arches connect regions of opposite magnetic polarity.",1 AND 3,SBST
Biology,Short Answer,"For a population of haplodiploid bees, what is the coefficient of relatedness between a female and her brother?",0.25 (ACCEPT: 1/4),Short Answer,Systemic acquired resistance is a defense mechanism in plants that is activated by what plant hormone?,SALICYLIC ACID,SBST
Physics,Short Answer,Rank the following three phases in terms of increasing pressure at 30 kelvin in condensed matter physics: 1) Ordered state; 2) Disordered state; 3) Quantum critical.,"1, 3, 2",Short Answer,"An instantaneous imbalance of electrons in an atom or a molecule can induce changes in the energy levels of that atom or molecule. What is the term for this changed state, which can be thought of as the intramolecular analogue of London dispersion forces?",HYPERFINE STRUCTURE,SBST
Math,Multiple Choice,Let G be a group with an order of 2020 and S be a subgroup of G. Which of the following could NOT be the order of S? W) 2 X) 3 Y) 4 Z) 5,X) 3,Short Answer,"Amelia chooses either a standard 6-sided die or a standard 4-sided die with equal probability. She then rolls the selected die twice and records the sum of the results. Given that the sum is prime, what is the probability that she chose the 6-sided die?",20/47,SBST
Earth and Space,Short Answer,Identify all of the following three statements regarding stellar evolution on the Asymptotic Giant Branch that are true: 1) Most fusion occurs in the core; 2) Thermally pulsing AGB stars fuse hydrogen in a shell around an inert helium shell; 3) The temperature gradually increases during evolution along the AGB.,2 ONLY,Multiple Choice,"The weathering of wollastonite produces silica, releases its primary cation, and acts as a sink for carbon dioxide. Which of the following is likely the chemical formula of wollastonite? W) CaSiO3 X) FeSiO3 Y) MgSiO3 Z) Na2SiO3",W) CaSiO3,SBST
Chemistry,Multiple Choice,"A student treats methyl acetate with lithium aluminum hydride, followed by the addition of water to the reaction vessel. Which of the following functional groups is he most likely to observe as the major product? W) Primary alcohol X) Secondary alcohol Y) Tertiary alcohol Z) Aldehyde",W) PRIMARY ALCOHOL,Short Answer,What diagram used in spectroscopy plots electronic states to describe effects such as fluorescence and phosphorescence?,JABLONSKI DIAGRAM,SBST
Physics,Multiple Choice,Which of the following statements best describes the movement of an electron placed off-center inside a hollow conducting sphere? W) It would move to the center of the sphere X) It would move to the edge of the sphere Y) It would oscillate about the center of the sphere Z) It would not move,X) IT WOULD MOVE TO THE EDGE OF THE SPHERE,Short Answer,Water at 20 degrees Celsius is flowing through a pipe. Identify all of the following three changes that would make the flow more laminar: 1) Increasing flow velocity; 2) Increasing pipe diameter with constant volumetric flow rate; 3) Increasing temperature to 40 degrees Celsius.,2 AND 3,SBST
Energy,Multiple Choice,"Scientists at Oak Ridge National Lab are developing circuits for quantum computing. In these circuits, the quantum states of qubits are operated on through quantum gates, which output normalized qubit states. Which of the following best describes these operators? W) Unitary X) Hermitian Y) Singular Z) Real",W) UNITARY,Short Answer,Scientists at Lawrence Berkeley National Lab are studying the atmospheric chemistry of Titan. Rank the following four gases in terms of increasing concentration in Titan’s atmosphere: 1) Nitrogen; 2) Hydrogen; 3) Methane; 4) Acetylene.,"4, 2, 3, 1",SBST
Math,Short Answer,What is the limit as n approaches infinity of the integral from –n to 0 of 2 to the x power dx?,1 OVER THE NATURAL LOG OF 2,Short Answer,"What is the magnitude of the gradient of the scalar field x – y sine z at the point (6, 3, π)?",SQUARE ROOT 10,SBST
Biology,Short Answer,What specialized cyanobacterial cells have evolved to survive for years through unfavorable conditions?,AKINETES,Multiple Choice,The ST staple is a common four- or five-amino acid residue motif in proteins and polypeptides with serine or threonine as the C-terminal residue. It is characterized by a single hydrogen bond between the hydroxyl group of the C-terminal residue and the main chain carbonyl group that is 3 or 4 residues away. What protein structures are ST staples likely to be found in? W) Beta sheets X) Psi loops Y) Alpha helices Z) Pi helices,Y) ALPHA HELICES,SBST
Physics,Short Answer,Identify all of the following three statements that are true regarding MOSFETs: 1) A positive applied voltage at the gate repels electron holes and creates a depletion layer; 2) MOSFETs can only be made with p-type semiconductors; 3) MOSFETs use more power than bipolar junction transistors.,1 ONLY,Multiple Choice,Which of the following pairs of polarizers would block all incoming light? W) Two polarizers with transmission axes tilted at 75 and 120 degrees from the vertical X) Two polarizers with transmission axes tilted at 60 and 120 degrees from the vertical Y) Two polarizers with transmission axes tilted at 45 and 120 degrees from the vertical Z) Two polarizers with transmission axes tilted at 30 and 120 degrees from the vertical,Z) TWO POLARIZERS WITH TRANSMISSION AXES TILTED AT 30 AND 120,SBST
Energy,Multiple Choice,DOE researchers at the Joint Genome Institute have been using shrub willows to produce biofuels. Genomic studies into shrub willows have shown that females are heterogametic. Which of the following accurately designates the sex chromosomes of shrub willows females? W) XX X) XY Y) ZZ Z) ZW,Z) ZW,Short Answer,"Scientists on the Dark Energy Survey at Fermilab are discovering distant, high inclination Trans-Neptunian Objects with semimajor axes that are more than twice that of Pluto. Most of these high inclination TNOs belong to what group of objects?",SCATTERED DISK OBJECTS,SBST
Chemistry,Short Answer,Identify all of the following three functional groups that may be reduced by lithium aluminum hydride: 1) Ketone; 2) Aldehyde; 3) Carboxylic acid.,ALL,Short Answer,"Shown in the image is an organic molecule with three of its carbon-hydrogen bonds labeled A through C. Answer the following three questions regarding this image: 1. Which two bonds have the lowest and highest bond dissociation energies, respectively? 2. What is the IUPAC systematic name of the molecule depicted in the image? 3. Would the highest-wavenumber signal of the IR spectrum of this molecule be greater than or less than 3000 inverse centimeters?",1 – C AND A; 2 – 1-PENTENE; 3 – GREATER,SBST
Physics,Short Answer,"A massive object starts rotating in space, which distorts its gravitational field and induces precession on nearby particles. What is the term for this effect in general relativity?",FRAME-DRAGGING (ACCEPT: LENSE-THIRRING EFFECT),Short Answer,"A giant insulating sphere has a uniform charge density of 0.02 coulombs per cubic meter and a radius of 200 meters. Point A is 100 meters from the center of the sphere, while point B is 300 meters from the center of the sphere. How many times as great is the electric field at point B when compared to the electric field at point A?",8/9,SBST
Math,Multiple Choice,"ABCD is a convex cyclic quadrilateral with circumcircle omega such that the center of omega is inside ABCD. The tangents of omega at A and B meet at a point P. If angle APB equals 40 degrees, what is the measure of angle ACB in degrees? W) 40 X) 70 Y) 100 Z) 140",X) 70,Short Answer,The quadratic f(x) has leading coefficient 3 and is tangent to the line y = 2x + 5 at x = 4. What is the sum of the coefficients of f(x)?,34,SBST
Biology,Short Answer,What sequence is largely responsible for the graded regulation of termination in trp [trip] operons?,ATTENUATOR SEQUENCE (ACCEPT: TERMINATOR SEQUENCE),Multiple Choice,Which of the following most accurately describes the iodide trap of the thyroid gland? W) A uniporter that transports iodide into the thyroid gland X) An antiporter that transports chloride out and iodide into the thyroid gland Y) A symporter that transports sodium ions and iodide into the thyroid gland Z) A symporter that transports potassium ions and iodide into the thyroid gland,Y) A SYMPORTER THAT TRANSPORTS SODIUM IONS AND IODIDE INTO,SBST
Earth and Space,Multiple Choice,"Which of the following solutions to the Einstein- Maxwell field equations corresponds to the gravitational field of a rotating, charged, spherically symmetric massive body? W) Schwartzchild [sh-WARTZ-shield] metric X) Kerr metric Y) Reissner-Nordstrom metric Z) Kerr-Newman metric",Z) KERR-NEWMAN METRIC,Short Answer,The resolution of the Missing Baryon Problem is attributed to the presence of baryonic matter in what diffuse webs of plasma between galaxies?,WARM-HOT INTERGALACTIC MEDIUM (ACCEPT: WHIM),SBST
Physics,Multiple Choice,Which of the following forces can be expressed as the gradient of a potential function? W) Drag X) Lorentz force Y) Coriolis force Z) Centrifugal force,Z) CENTRIFUGAL FORCE,Short Answer,"Daniel designs a model rocket that weighs 100 grams, and fills it with 630 grams of propellant. When the rocket is launched, the propellant is expelled downwards at 30 meters per second relative to the rocket. At the end of the 2-second thrust phase, how fast is the rocket travelling, to the nearest meter per second and accounting for gravity?",40,SBST
Energy,Multiple Choice,"Scientists at Argonne National Lab are studying high- temperature minerals of the Earth’s mantle. One of the most common such minerals, bridgmanite, is a magnesium silicate perovskite with chemical formula MgSiO3. Bridgmanite is a high-temperature mineral of which of the following mineral groups? W) Garnet X) Pyroxene Y) Amphibole Z) Olivine",X) PYROXENE,Short Answer,Researchers at the Joint Genome Institute are engineering microbes for key contributions in several industries. Identify all of the following three statements about microbes that are true: 1) Cellulose-degrading microbes can be found in geothermal hot springs; 2) DNA synthesis and cloning precedes mass spectrometry in enzyme activity assays of microbes; 3) Algal mats are typically composed of blue-green cyanobacteria.,ALL,SBST
Biology,Multiple Choice,Which of the following most closely resembles the ATP to ADP ratio in animal cells? W) 100 to 1 X) 10 to 1 Y) 1 to 1 Z) 1 to 10,X) 10 to 1,Short Answer,"A scientist performs a fruit fly test cross with three genes involved. The genes are located 10 map units, 10 map units, and 20 map units away from each other. Given that a double crossover only occurred in one of 200 offspring, what is the positive interference?",0.5 (ACCEPT: 1/2),SBST
Physics,Short Answer,Identify all of the following three statements are true regarding a series RLC circuit driven by an AC voltage source: 1) The resonant frequency is equal to the square root of the inductance times the capacitance; 2) The current through the resistor is always in phase with the voltage source; 3) The voltage across the inductor leads the voltage across the resistor.,3 ONLY,Short Answer,Positronium is a bound state of an electron and a positron. Identify all of the following three statements regarding positronium that are true: 1) It obeys Bose-Einstein statistics; 2) Its binding energy is –6.8 electronvolts; 3) It can decay into a single photon.,1 AND 2,SBST
Chemistry,Short Answer,"Rank the following three compounds in order of increasing acidity: 1) Ethanal; 2) 2,4-dipentanone; 3) Methylbenzene.","3, 1, 2",Multiple Choice,Which of the following statements is true regarding amination reactions? W) The reaction between methyl iodide and ammonia results in polyalkylation X) Reductive amination uses lithium aluminum hydride to reduce an imine to an amine Y) Alkenes react with nitrogen on heterogeneous catalysts to produce amines Z) The Staudinger reaction produces amines through a pericyclic reaction,W) THE REACTION BETWEEN METHYL IODIDE AND AMMONIA RESULTS,SBST
Math,Short Answer,"A convex equiangular hexagon ABCDEF has AB = 12, BC = 5, CD = 13, and DE = 8. What are EF and FA, respectively?",9 AND 9,Short Answer,What is the sum of the 3 smallest positive integers b such that three- two in base b is a perfect cube?,654,SBST
Biology,Multiple Choice,Which of the following species is least likely to be translocated through phloem tissue? W) mRNA strands X) Reducing sugars Y) Amino acids Z) Nitrogen-fixing nodules,X) REDUCING SUGARS,Multiple Choice,Which of the following does not accurately match coat proteins on a vesicle to their destination? W) Vesicles coated with clathrin and adaptin 1 travel towards lysosomes X) Vesicles coated with clathrin and adaptin 2 travel toward the plasma membrane Y) Vesicles coated with COPII [COP-TWO] travel towards Golgi cisternae Z) Vesicles coated with COPI [COP-ONE] travel towards the endoplasmic reticulum,X) VESICLES COATED WITH CLATHRIN AND ADAPTIN 2 TRAVEL,SBST
Physics,Short Answer,A photon’s path through empty spacetime is plotted on a Minkowski diagram. What is the slope of its worldline?,1,Short Answer,"An electron has wave function psi of r equals Nr2 for r is less than or equal to 1, where N is a normalization constant. What is the probability that the particle is found with r is less than 1/2?",1/128,SBST
