category,tossup_type,tossup_question,tossup_answer,bonus_type,bonus_question,bonus_answer,parent_packet
Biology,Short Answer,What cell type makes up the inner layer of the glomerulus in kidneys? ,Podocytes,Short Answer,Identify all of the following 3 structures that are diploid: I) Microspores II) Megasporangium III) Zygote IV) Endosperm,,ESBOT
Energy,Short Answer,Researchers at Sandia National Labs are studying ways that the human immune system fights off microbial infections. One of these ways involves the production of a powerful oxidant from water and singlet oxygen molecules. What is the name of this compound? ,Trioxidane,Multiple Choice,"Scientists in Fauci’s attic, funded by the DOE, have made anthrax that is resistant to penicillin. They figure out that the anthrax is breaking down the penicillin, and have isolated the enzyme doing so. Which of the following enzymes have they most likely identified? W) Beta Lactamase X) Delta Trilactone Y) Penicillin Breaking Proteins Z) Alpha Galactase",,ESBOT
Math,Short Answer,What is the area of the lemniscate with equation r2=sin(2θ)? ,1,Short Answer,Evaluate the limit as x approaches 0 of csc(x) - 1/x [READ: cosecant of open parenthesis x close parenthesis minus 1 over open parenthesis x close parenthesis].,,ESBOT
Chemistry,Short Answer,How many geometric isomers does [FeCl2(NH3)4] have? ,2,Short Answer,Electron transitions between which two molecular orbitals are responsible for octachlorodirhenate’s distinctive color?,,ESBOT
Physics,Short Answer,"A spherical bubble is made of soapy water with a surface tension of 0.5 Newtons per meter. The radius of the bubble is 5 cm. What is the pressure difference between the inside and outside of the bubble, in Pascals? ",20 pascals,Multiple Choice,"Consider an infinite square potential well with a width W. Considering the left edge of the well to be x = 0, where are the most likely locations for a particle at the n=2 energy level to be found? W) x = 0 and x = W X) x = W/2 and x = W√2/2 Y) x = W/4 and x = 3W/4 Z) x = W/3 and x = 2W/3",,ESBOT
Math,Short Answer,Let ABC be a triangle with D on AC and E on BC such that AD/DC=5/3 and BE/EC=5/2. Let BD and AE meet at F. What is BF/FD? ,4,Short Answer,An inversion is defined as a geometric map about a center of inversion O and with radius R such that the image P* lying on the ray OP of the point P satisfies OP x OP* = R2. The center of inversion will map to a point at infinity. Identify all of the following 3 properties of an inversion with center O and radius R that are true: I) An inversion about a point twice is equivalent to a rotation of 180 degrees about O II) Any line passing through O is mapped to itself. III) Any circle ω [omega] passing through O is mapped to the line that passes through the two intersections of the circle with radius R and center O with ω,,ESBOT
Earth and Space,Short Answer,Identify all of the following 3 rock types that are commonly used to make paleoclimate observations: I) Petrified Wood II) Ice III) Travertine ,ALL,Short Answer,"Identify all of the following 3 statements that are true of the East Pacific rise: I) It rifts faster on its Eastern side II) It rifts faster than subduction occurs at the boundaries of the ring of fire, expanding the Pacific ocean basin III) Rifting of the pacific plate can entirely account for the positions of the Hawaii-emperor seamount chain",,ESBOT
Physics,Short Answer,"Andrew is riding in a bullet train with velocity 0.5c. If Andrew throws a ball towards the back of the train at a speed of 0.25c, what speed would the ball be traveling at with respect to a ground observer? ",2c/7,Short Answer,"Consider a capacitor with a capacitance of 4 Farads. The capacitor is charged by a 9 Volt voltage source and then disconnected. Another capacitor with a capacitance of 2 Farads is connected in parallel with the 4 Farad capacitor, allowed to charge, and removed. A 1 Farad capacitor is then connected and disconnected from the 4 Farad capacitor, and the process continues. In Coulombs, what is the charge remaining on the 4 Farad capacitor after the 0.5 Farad capacitor has been disconnected?",,ESBOT
Energy,Short Answer,"Researchers at Fermilab are studying high energy collisions between subatomic particles. What mathematical function, which is the derivative of the Heaviside Step Function, can be used to model the force on a subatomic particle in an elastic collision as a function of time? ",Dirac Delta Function,Multiple Choice,Researchers at NASA are using reflecting telescopes to study the formation of stars in the Orion Nebula. Both Gregorian and Cassegrain telescope designs are used to focus incoming radio waves. Which of the following best describes the difference between Gregorian and Cassegrain telescopes? W) Gregorian telescopes are reflecting and Cassegrain are not X) Gregorian telescopes use two lenses while Cassegrain use three Y) Gregorian telescopes use a concave secondary mirror while Cassegrain use a convex secondary mirror Z) Gregorian telescopes reflect incoming light at a high angle of incidence while Cassegrain reflect at a low angle of incidence,,ESBOT
Physics,Short Answer,"The Legendre [READ: le-zhan-der (zh like S in meaSure)] transform is used to transform Lagrangian systems into Hamiltonian ones. The Legendre transform turns equations of any quantity q and q dot into equations of q and X, with X representing what quantity? ","Conjugate quantity of q (ACCEPT: conjugate of q, generalized momentum)",Short Answer,"Consider a system of 3 einstein solids each in turn containing 3 oscillators, sharing a total of 3 units of energy. Assuming the solids are in thermal contact, and the total energy is fixed to 3 units, how many possible macrostates are available to the system?",,ESBOT
Biology,Short Answer,What is the name of the structure in the lateral line organ of fish that detects vibration and changes in pressure? ,Neuromasts (ACCEPT: Cupula),Short Answer,Identify all of the following 4 enzymes that are incorrectly matched with their substrate I) Aromatase - testosterone II) Phospholipase C - phosphatidylinositol III) Separase - cohesin IV) Catalase - hydrogen peroxide,,ESBOT
Biology,Short Answer,What type of chromosomal inversion includes an exchange of regions including the centromere? ,Pericentric inversion,Multiple Choice,"In a species of Eldians, the ability to turn into a titan is inherited in an autosomal dominant pattern with allele frequency of 0.9 and penetrance of 80%. Levi is one of the few Eldians who genotypically cannot turn into a titan. If he mates with a random Eldian, what is the probability his child will also be unable to turn into a titan? W) 0.09 X) 0.18 Y) 0.27 Z) 0.54",,ESBOT
Physics,Short Answer,What is the name for the magnetic analog to the electric potential? ,"Vector potential
(ACCEPT: Magnetic vector potential)",Short Answer,Identify all of the following 4 quantities that are correctly paired with their conjugate quantities: I) Energy and time II) Temperature and heat III) Electric potential and charge density IV) Gravitational potential and mass density,,ESBOT
Math,Short Answer,What are the solutions to the characteristic polynomial for the differential equation x’’’ - 5x’’ + 6x’ = 0 [READ: x triple prime minus 5 times x double prime plus 6 times x prime equals 0]. ,"0, 2, 3",Short Answer,What is the smallest possible degree of the polynomial with rational coefficients that has √2 + √3 as a root?,,ESBOT
Math,Short Answer,What is the remainder when 11482 is divided by 32? ,25,Short Answer,"What type of integration, commonly used in measure theory, splits the range of a function into separate components to sum over based on the value of a defining measure for that function?",,ESBOT
Physics,Short Answer,Consider an infinite square potential well with a zero point energy of 15 electron Volts. How many total energy levels are there with an energy below 750 electron Volts? ,7,Multiple Choice,"Rohit and Matthew are making a tower out of their 10 inch tall rolled up Ocean Science Bowl posters. They put one poster inside another and put their trophy on top to see how far one poster slides into the other. The posters are rolled to a 2 inch diameter and constrained so their diameter does not change, causing the inner poster to put a pressure of 2 PSI outwards onto the outer poster. If the coefficient of friction for the posters is .5, to the nearest tenth of an inch, how far does one poster slide into the other once a 3.14 lb trophy is placed on the tower?",,ESBOT
Chemistry,Short Answer,Order the following conformations of cyclohexane from highest to lowest energy; 1) Half Chair; 2) Chair; 3) Boat; 4) Twist Boat. ,"1, 3, 4, 2",Multiple Choice,"Which of the following is antiaromatic, but not nonaromatic? W) Cyclohexane X) Pyrimidine Y) Cyclopentadiene Z) Cyclobutadiene",,ESBOT
Biology,Short Answer,What paradox regarding protein folding states that there are too many possible states for a protein that exist for it to ever reach its native conformation in a reasonable amount of time ,Levinthal’s paradox,Short Answer,Identify all of the following 4 phyla of fungi that lack flagella: I) Ascomycetes II) Chytrids III) Cryptomycetes IV) Mucoromycetes,,ESBOT
Earth and Space,Short Answer,Order the  following variable stars in order of least to greatest Luminosity to Mass Ratio at its average luminosity. 1) Omicron Ceti 2) RR Lyrae 3) Delta Cephei ,"2, 3, 1",Short Answer,Identify all of the following three processes that are primary drivers of Jupiter’s belt and zone circulation: I) Differing Albedos between zones and belts II) Varying solar insolation across latitudes III) Jupiter’s rotation,,ESBOT
Biology,Short Answer,What is the name for the protective layer of tissue surrounding embryonic roots in monocots? ,Coleorhiza,Short Answer,Identify all of the following 3 statements which distinguish type 3 CRISPR systems from others I) Type III systems can target both foreign DNA and RNA II) Type III systems do not need a PAM sequence for interference III) Type III systems only use one enzyme to carry out interference,,ESBOT
Math,Short Answer,"Sukrith writes the numbers from 1 to 5 on a whiteboard. Every minute, he chooses two numbers a and b, erases them, and writes the square root of a2 + b2 in their place. He continues doing this until there is only 1 number left on the board. What is the maximum possible value of this number? ",sqrt(55),Short Answer,What is the second order MacLaurin approximation of ln(1 + x) [READ: natural log of the quantity 1 plus x] at x = 3?,,ESBOT
Earth and Space,Short Answer,Identify all of the following three statements that are true of white dwarfs: I) As their mass increases their radius decreases II) The limit on the size of a white dwarf is exactly half of the limit on the size of a neutron star III) White dwarfs cannot be formed from main sequence stars of mass under 2 solar masses ,I only,Multiple Choice,Which of the following describes the relationship between luminosity and the stellar velocity dispersion of elliptical galaxies? W) Faber-Jackson Relation X) Tully-Fisher Relation Y) Sigma-D Relation Z) M-Sigma Relation,,ESBOT
Energy,Short Answer,Scientists at Fermilab are studying the simulation of quantum field theories using quantum computing. What formulation of quantum field theories involves summing over the many paths a quantum particle could take to compute a probability amplitude? ,Path integral formulation,Short Answer,"Scientists at Fermilab are studying extensions of quantum chromodynamics that involve finite dimensional path integrals, unlike traditional quantum field theories. Renormalization effectively deals with infinities arising from what analytical method used to solve for interactions in quantum field theory?",,ESBOT
Chemistry,Short Answer,Identify all of the following 4 coordinate geometries that are correctly paired with their coordination numbers: I) Octahedral and 8 II) Tetrahedral and 3 III) Trigonal bipyramidal and 3 IV) Square pyramidal and 4 ,None,Short Answer,Identify all of the following four coordinate geometries that are correctly paired with the type of hybridization around the central ion: I) Tetrahedral and sp3 II) Octahedral and d3s3 III) Square planar and dsp2 IV) Linear and sp2,,ESBOT
Math,Short Answer,"What is the area of the region in the xy plane corresponding to the domain of the function f(x, y)=sqrt(1 - x2 - y2)? ",pi,Short Answer,Regular hexagon ABCDEF has a side length of 6. What is the ratio of the length of AC to the length of AD?,,ESBOT
Biology,Short Answer,"Identify all of the following 4 polysaccharides that are incorrectly matched with their type of glycosidic (gly-ko-si-dic) linkage I) Sucrose: 1,2 glycosidic linkage II) Lactose: Beta 1,4 glycosidic linkage III) Amylopectin: 1,4 glycosidic linkage with 1,2 branching points IV) Glycogen: 1,4 glycosidic linkage with 1,6 branching points ",III only,Multiple Choice,"A competitive inhibitor does NOT change what aspect of a reaction’s progress, described by Michaelis-Menten kinetics? W) Vmax X) Km Y) V0 Z) Ea",,ESBOT
Physics,Short Answer,"In Lagrangian mechanics, what principle replaces Newton’s F=ma? ",Principle of Stationary Action (ACCEPT: Principle of Least Action),Short Answer,A charged particle is placed in a constant electric field and moved in a figure 8 pattern. Identify all of the following 3 statements that are true of this process: I) The total work done is zero II) The total distance moved is zero III) The integral of the electric force over the path is nonzero,,ESBOT
Math,Short Answer,The two legs of a right triangle are equal to the roots of the polynomial x2 - 15x + 48 [READ: x squared minus 15 x plus 48]. What is the area of the triangle? ,24,Short Answer,"What is the average of all the possible areas of a triangle ABC with angle A = 60 degrees, side b = 9, and side a = 8.6?",,ESBOT
Biology,Short Answer,Recognition of sound at different parts inside the cochlea allows us to distinguish what characteristic of sound waves? ,Pitch (ACCEPT: frequency or other equivalent answers),Short Answer,Identify all of the following 4 genetic disorders that follow an X-linked recessive inheritance pattern: I) Marfan syndrome II) Red green color blindness III) Phenylketonuria [feen-il-kee-to-nur-i-a] IV) Tay Sachs disease,,ESBOT
Earth and Space,Short Answer,"Which of the following statements is NOT true about Pluto? W) It is in a 3 to 2 orbital resonance with Neptune X) It undergoes prograde rotation Y) Its ice is made up of primarily methane Z) It rotates over 10,000 times in one orbit around the sun ",X) It undergoes prograde rotation,Short Answer,Order the following three satellites of Jupiter in increasing albedo. 1) Ganymede 2) Europa 3) Callisto,,ESBOT
Math,Short Answer,"Your school has between 40 and 80 students. If classes are formed with size 7, there are 6 students left over. If classes are formed with size 9, there are 8 students left over. How many people are in the school? ",62,Short Answer,"Pranav buys an old collection of manga, hoping that some of them will turn out to be valuable. If a manga is valuable, its value doubles every 5 years, and if it is not, its value halves every 5 years. If he buys a collection of 300 manga for $5 each and 20% of them are valuable, what is the expected value of the collection after 15 years?",,ESBOT
Physics,Short Answer,"A soap bubble is created in a  3 m by 5 m rectangular wire frame. If the force from the liquid on one of the longer sides is 15 N, what is the force on one of the shorter sides? ",9 N,Multiple Choice,"Consider a mass M moving at velocity u inside reference frame S. Reference frame S is moving at velocity v with respect to the observer. If Ku [READ: K sub u] is equal to ½ Mu2 [READ: one half M u squared] and Kv [READ: K sub v] is equal to ½ Mv2 [READ: one half M v squared], which of the following conditions must be true if the kinetic energy of mass M with respect to the observer is equal to Ku + Kv? W) Velocity u is perpendicular to velocity v X) Velocity u is parallel to velocity v Y) The magnitude of velocity u is equal to the magnitude of velocity v Z) Velocity u and velocity v point in opposite directions",,ESBOT
Chemistry,Short Answer,"Seth Landesman is developing new beard care products, specifically with beard gels. What intermolecular force is most important to the gel’s ability to keep long strands of hair stuck together? ",Dispersion (ACCEPT: London dispersion),Short Answer,Identify all of the following four compounds that act as electrophiles: I) BH3 II) NaOH III) HCOOH,,ESBOT
Biology,Short Answer,Identify all of the following 4 statements that correctly describe characteristics of bacteria and archaea I) Bacterial flagella and archaean flagella are homologous II) Archaean [arc-ay-an] cell walls lack peptidoglycan [pep-tid-o-gly-can] III) Archaea use methionine [meth-i-o-neen] as their starting amino acid while bacteria use formyl-methionine IV) Archaea have linear chromosomes while bacteria have circular chromosomes ,"II, III",Short Answer,Identify all of the following bacteria that you would expect to stain red in a traditional Gram test: I) Vibrio cholerae II) Staphylococcus aureus III) Bacillus anthracis IV) Helicobacter pylori,,ESBOT
Physics,Short Answer,"If a refrigerator has a thermodynamic efficiency of 88%, then what is its coefficient of performance to the nearest whole number? ",8,Short Answer,Identify all of the following 4 real processes that can be approximated as isobaric: I) Combustion in an open container II) Slow heating of a gas-filled balloon III) Combustion in a closed container IV) Evaporation of water vapor in a vacuum sealed container,,ESBOT
Energy,Short Answer,The Department of ,Angle of Repose,Short Answer,Researchers at Pacific Northwest National lab are studying cell signaling pathways in yeast cells. Yeast are known to produce two distinct types of gametes that secrete distinct mating signals. What are the two kinds of yeast gametes that merge to form a new yeast organism?,,ESBOT
Chemistry,Short Answer,Nikhil is investigating the bonding inside a metal-containing salt he has produced. He determines that the type of bonding he is observing mostly appears in quadruple bonds between metals with low metallic character and contains two nodal planes. What type of bonding is he observing? ,Delta bonding,Multiple Choice,"Mr. Condit forgot what sodium salt he dissolved in a solution! In order to figure out what anion is present, he first adds a little acid, causing the solution to bubble, producing a colorless, pungent gas. What sodium salt is this likely to be? W) NaHCO3 X) Na2CO3 Y) Na2SO3 Z) NaNO3",,ESBOT
Math,Short Answer,How many times between x equals 0 and x equals 6pi do the graphs sin(x) and sec(x) interesect? ,0,Short Answer,What is the value of the summation from n equals 0 to infinity of 2 to the power of n divided by n factorial? Express your answer to the nearest whole number.,,ESBOT
Chemistry,Short Answer,"Nitrogen dioxide reacts with water to undergo what type of reaction, involving the transfer of electrons from one nitrogen dioxide unit to another? ",Disproportionation (ACCEPT: Dismutation),Multiple Choice,"Colin decides to create a 1 Molar solution of sulfuric acid. He finds a 12 Molar stock solution in his chemical cabinet and pours distilled water into it to form a 1 Molar solution. Which of the following best explains why this is incredibly unsafe? W) Concentrated sulfuric acid produces toxic sulfur dioxide when diluted X) Sulfuric acid’s pH becomes lower the more you dilute it, forming a solution with an extremely acidic pH Y) Sulfuric acid’s dilution is exothermic, and directly adding water can cause it to splatter Z) Sulfuric acid’s dilution is endothermic, and directly diluting it can cause serious frostbite to fingers touching the container",,ESBOT
Physics,Short Answer,One quark in a meson has a color charge of red. Identity all of the following 3 options are possible color charges for the other quark: I) Red II) Blue III) Green ,None,Short Answer,"Consider a person standing at the outer edge of a 5 meter diameter disk rotating at 2 radians per second. If the person throws a 50 gram ball towards the center of the disk at 4 meters per second, what is the magnitude of the Coriolis force acting on the ball in the disk’s reference frame?",,ESBOT
Math,Short Answer,What is the sum of squares of the roots of x4 - 8x3 + 13x2 - 5? ,38,Short Answer,What is the sum from k=1 to k=6560 of log3(1+1/k) [READ: log base 3 of open parenthesis one plus one over k close parenthesis].,,ESBOT
Earth and Space,Short Answer,Identify all of the following 4 factors which promote thunderstorm formation. I) High Turbulence II) Atmospheric Stability III) Orographic uplift IV) Frontal Wedging ,"1, 3 and 4",Multiple Choice,Which of the following best describes the calculation of the Southern Oscillation Index? W) The anomaly in average pressure between Tahiti and Australia X) The anomaly in average sea surface temperature between Tahiti and Australia Y) The anomaly in average pressure between Tahiti and Peru Z) The anomaly in average sea surface temperature between Tahiti and Peru,,ESBOT
Energy,Short Answer,"Scientists at Fermilab are studying neutrinos. While neutrinos usually interact with both gravity and the weak nuclear force, a proposed type of neutrinos only interacts with gravity. What is the name for these neutrinos, which do not undergo oscillation? ",Sterile Neutrino,Short Answer,"Scientists at Lawrence Berkeley National Laboratory are studying new models of physics, such as weak scale supersymmetry. They are looking to explain certain properties of the electroweak theory. What property of the electroweak theory states that as energy levels are lowered, the electromagnetic and weak nuclear forces diverge, unlike at high energies where they can be unified into one force?",,ESBOT
Chemistry,Short Answer,"While out camping, Colin is out camping, he finds that he left his favorite bottle of urea open and all the water has evaporated off! He tries to dissolve the solid urea evaporite by adding distilled water but the urea refuses to dissolve. Identify all of the following 3 things that Colin’s brother could do to improve the solubility of the urea: I) Add Fe3+ ions to form a complex II) Add uric acid III) Heat the water solvent ","I, III",Short Answer,"After failing to retrieve the urea, Colin looks for and finds a bottle of urea solution of unknown concentration with molar absorptivity of 4*103 Liters per mol centimeter. He brings it back to the lab to measure its absorbance and measures an absorbance of 20 in a 2 centimeter thick sample. In moles per liter, what is the molar concentration of the urea sample?",,ESBOT
Math,Short Answer,It takes 5 Enloe Science Bowl members 5 days to write 30 questions. How many days will it take for 107 Enloe Science Bowl members to write 642 questions? ,5,Short Answer,"If E, S, B, O, T are positive integers such that E * S * B * O * T is equal to 2022, then what is the minimum possible value of E + S + B + O + T?",,ESBOT
Biology,Short Answer,White muscle derives its energy primarily from what metabolic pathway? ,Glycolysis (DO NOT ACCEPT: cell respiration),Short Answer,Identify all of the following structures in the brain that are correctly matched to the embryonic tissue they are derived from: I) Telencephalon [te-len-sef-alon] - Thalamus II) Metencephalon [met-en-sef-alon] - Cerebellum III) Diencephalon [di-en-sef-alon] - Hypothalamus IV) Myelencephalon [mi-el-en-sef-alon] - Medulla oblongata,,ESBOT
Math,Short Answer,It takes 5 Enloe Science Bowl members 5 days to write 30 questions. How many days will it take for 107 Enloe Science Bowl members to write 642 questions? ,5,Short Answer,"A circle O circumscribes a quadrilateral ABCD. If AB is 9, CD is 21, and BC equals DA equals 10, what is the length of diagonal AC?",,ESBOT
Earth and Space,Short Answer,Order the following 4 rocks in order from highest to lowest elevation along a stream profile: 1) Breccia 2) Quartz Sandstone 3) Conglomerate 4) Arkose ,"1, 3, 4, 2",Short Answer,What is the name for alternating dark and light bands of ice on glaciers?,,ESBOT
Earth and Space,Short Answer,"A star is measured to have a luminosity of 8 solar luminosities. If the radius of this star was halved and the temperature was tripled, in solar luminosities, what would the new luminosity of the star be? ",162,Short Answer,Identify all of the following 3 properties of stars that increase with scale height in the Milky Way galaxy: I) Metalicity II) Luminosity III) Age,,ESBOT
Math,Short Answer,"To the nearest integer, what is the average value of the first 10,000 positive integers? ",5001,Short Answer,"Assuming that log(2) = 0.3, log(3) = 0.5, and log(5) = 0.7, then to the nearest tenth, what is the value of log125(450) [READ: log base 125 of 450]?.",,ESBOT
Chemistry,Short Answer,What is the name and hapticity respectively of the ligands in the simplest ferrocene complex? ,"Cyclopentadienyl, 5",Short Answer,"Assume that at 1000 Kelvin, and with all aqueous species at 1 molar, the reaction of Cu 2+ with Zinc to form Zn 2+ and Copper has a potential of 0 V. What, to 2 significant figures, is the natural log of the concentration of zinc ion required to raise the potential of the reaction to 1 V? Assume the universal gas constant has a value of 8, and Faraday’s constant has a value of 96500.",,ESBOT
Chemistry,Short Answer,What metal is deposited when Tollens’ reagent reacts with an aldehyde? ,Silver,Short Answer,Identify all of the following 3 atoms that have more neutrons than electrons: I) O17 2- [READ: O 17 two minus] II) Cr53 7+ III) Si29 4-,,ESBOT
Biology,Short Answer,"If the pKa of the carboxylic acid in an amino acid is 2, the pKa of the amino group is 10, and the pKa of the R group is 4, what is the isoelectric point of the amino acid? ",3,Short Answer,Identify all of the following 3 statements that are true of capillaries in the cardiovascular system: I) The smaller radius of capillaries results in a higher blood pressure than arteries II) Oxygen from the blood passively diffuses into the alveolar capillaries III) New capillaries can be formed from angiogenesis,,ESBOT
Earth and Space,Short Answer,"Identify all of the following 3 tectonic features that do NOT correctly match with the corresponding stage of the Wilson Cycle? 1)  East African Rift, Embryonic 2)  Red Sea, Declining 3)  Pacific Ocean, Terminal ",2 and 3,Multiple Choice,At which of the following areas in the earth’s mantle do the deepest earthquakes occur? W) Moho Discontinuity X) Gutenberg Discontinuity Y) Wadati Benioff Zone Z) Low Velocity Zone,,ESBOT
Physics,Short Answer,"A thermocouple measures the voltage difference created between two different metals when heated in order to find their temperature. What effect, which creates this voltage difference upon heating, do thermocouples take advantage of? ",Seebeck effect,Short Answer,"Consider a reference frame containing a mass m rotating at angular frequency ω [omega]. If the point at the center of rotation has a potential energy of 0, what is the magnitude of the potential energy associated with the centrifugal force at a distance r from the rotation axis in terms of all relevant variables?",,ESBOT
Earth and Space,Short Answer,What is the name for the locations around the world in which the tidal amplitude is very close to 0? ,Amphidromic Points,Short Answer,Identify all of the following 3 statements that are true of internal waves: I) Internal waves have higher amplitude than surface waves with the same energy II) Internal waves have lower frequency than surface waves with the same energy III) Internal waves tend to be most pronounced at 30° north.,,ESBOT
Chemistry,Short Answer,"The ions Fe2+, Cr3+ and Ni2+ all precipitate a green solid when reacting with what anion? ","OH- (Accept: Hydroxide, deprotonated hydroxic acid)",Short Answer,Identify all of the following 4 reagent-catalyst pairs that react with benzene to form an acidic compound: I) Chlorine gas - Iron Chloride II) Methyl Chloride - Aluminum Chloride III) Nitric Acid - Sulfuric Acid IV) Sulfur Trioxide - Sulfuric Acid,,ESBOT
Math,Short Answer,"An upward opening parabola has a vertex at (0, 2) with the x-axis as its directrix. The point A, with an x-value of 8, lies on the parabola. What is the distance between A and the point (0, 4)? ",10,Short Answer,What is the limit as h approaches 0 of [read slowly] 1 over h times the integral from 0 to h of sin2(x) [READ: sine squared of x (?)] divided by x2 dx?,,ESBOT
Energy,Short Answer,Scientists at Lawrence Berkeley National Laboratory are studying extensions of the Standard Model that solve the discrepancy between the gravitational and weak nuclear forces. What extension of the Standard Model introduces a new boson associated with every fermion and vice versa? ,Supersymmetry,Short Answer,Researchers at SLAC National Accelerator Facility are studying quantum physics using the SSRL. What type of radiation is emitted by subatomic particles that are accelerating due to a centripetal force?,,ESBOT
Physics,Short Answer,What quantity is defined as the inverse hyperbolic tangent of the ratio of an object’s velocity to the speed of light? ,Rapidity,Multiple Choice,Which of the following options is true of Gauss’s Law? W) Gauss’s Law can be applied to any type of two dimensional surface X) The principle behind Gauss’s Law applies to any field proportional to 1/r2 Y) Gauss’s Law relates the electric flux through a closed surface to the current through it Z) Gauss’s Law is analogous to Hooke’s Law,,ESBOT
Biology,Short Answer,What method of prokaryotic transcription termination involves the formation of protein complexes that bind to the growing RNA transcript and separates it from the template? ,Rho-dependent termination,Short Answer,What is the name for the ubiquitin [yoo-bi-quit-in] ligase that marks cyclin B for degradation by proteasomes ?,,ESBOT
Earth and Space,Short Answer,The mass fractions of hydrogen and helium for a star are 0.68 and 0.22 respectively. What is the metallicity of this star? ,"0.1 (ACCEPT: 10%, 1/10 <- only psychopaths will give this answer)",Short Answer,Order the following 3 satellites of Saturn from least to greatest mass: 1) Mimas 2) Titan 3) Iapetus,,ESBOT
Biology,Short Answer,Cardiac muscle is able to communicate and propagate electric signals extremely quickly due to the presence of what distinctive connecting structures? ,Intercalated discs,Short Answer,"In the Bundren family, the mother Addie Bundren has a daughter with Anse named Dewey Dell. She also has a child with another man named Whitfield, and has a son named Jewel. If Jewel and Dewey Dell have a child, what is the coefficient of relatedness between the child and Addie.",,ESBOT
Math,Short Answer,What is the integral from π/2 to 15π/2 of sin(x/2) [READ: sin of open parenthesis x over 2 close parenthesis]? ,0,Short Answer,"Colin is creating a list of the positive integers using the following rule: he lists all numbers in numerical order but skips multiples of 3 and skips multiples of 5. In this list, at what position will the number 101 be?",,ESBOT
