category,tossup_type,tossup_question,tossup_answer,bonus_type,bonus_question,bonus_answer,parent_packet
BIOLOGY,Multiple Choice,"If a plant had a taproot, it would also most likely have: W) parallel leaf venation X) two cotyledons in its seedling stage Y) diffusely arranged vascular bundles in its stem Z) no stomata on the upper surfaces of its leaves",X) TWO COTYLEDONS IN ITS SEEDLING STAGE,Short Answer,"Using the traditional system of classification, when organisms belong to the same class, name all of the following 4 taxonomic categories to which they must also belong: order; family; phylum; kingdom",PHYLUM; KINGDOM,SciBowlDB
CHEMISTRY,Short Answer,"According to standard chemical nomenclature and indicating the proper charge, what is the formula for hydrogen sulfide?",H2S,Short Answer,"Of the following group of 4 cations, which are the LARGEST and SMALLEST ions, respectively: K+; Na+; Rb+; Li+",LARGEST = Rb+; SMALLEST = Li+ (ACCEPT: RUBIDIUM AND LITHIUM),SciBowlDB
PHYSICS,Multiple Choice,"Martin is swinging a yo-yo in a large room with a circular motion perpendicular to a level floor. If the yo-yo breaks away from its string at the top of the yo-yo's circular path, in what direction will the yo-yo initially move: W) at an angle between horizontal and vertical X) straight up, toward the ceiling Y) straight down, to the floor Z) horizontally, tangent to its original circular path","Z) HORIZONTALLY, TANGENT TO ITS ORIGINAL CIRCULAR PATH",Short Answer,What is the BEST term for the tendency of any mass at rest to remain at rest?,INERTIA,SciBowlDB
BIOLOGY,Short Answer,What is the genus name of the most thoroughly studied bacterium?,Escherichia,Short Answer,Name all of the following 3 processes that do NOT occur in E. colr. glycolysis; photosynthesis; glycogenolysis (read as: GLYKO-jen-oh-LY-sis),PHOTOSYNTHESIS,SciBowlDB
BIOLOGY,Multiple Choice,With which of the following does human interstitial fluid differ in concentration the most when compared with plasma: W) sodium ions X) potassium ions Y) magnesium ions Z) proteins,Z) PROTEINS,Short Answer,What human organ produces the majority of immune complement proteins?,LIVER,SciBowlDB
CHEMISTRY,Multiple Choice,Which of the following is a diprotic acid: W) H2C2O4 X) H3PO4 Y) HCl Z) HNO2,W) H2C2O4 (Solution: oxalic acid with 2 acidic H atoms),Multiple Choice,"Which of the following statements is NOT true: W) an ideal gas cannot undergo condensation X) the less mass a particle has, the faster it will effuse Y) when a gas is compressed, its temperature always increases Z) a gas is easier to compress than a liquid","Y) WHEN A GAS IS COMPRESSED, ITS TEMPERATURE ALWAYS INCREASES",SciBowlDB
PHYSICS,Multiple Choice,Which of the following BEST describes the most common functions for which most transistors are used: W) to switch on and off or amplify electronic signals X) to allow electric current to pass in only one direction while increasing or decreasing the voltage Y) to store electrical energy Z) to regulate the frequency of electrical sine waves,W) TO SWITCH ON AND OFF OR AMPLIFY ELECTRONIC SIGNALS,Multiple Choice,Which of the following is the abbreviated name of the most common field effect transistor in modern electronic circuitry: W) DET X) MOSFET Y) BJT Z) BFET,X) MOSFET,SciBowlDB
MATH,Short Answer,"Find the cotangent and cosecant, respectively, of a 90° angle:",COTAN = 0; COSECANT = 1,Multiple Choice,"Which of the following points is closest to the point (1, -2): W) (3, -5) X) (0, 3) Y) (3, 0) Z) (-5, -5)","Y) (3, 0)",SciBowlDB
EARTH SCIENCE,Multiple Choice,"In which of the following lakes in North America would you typically find a thriving community of halophiles and alkaliphiles: W) Lake Michigan X) Mono Lake, California Y) Great Slave Lake, Canada Z) Lake Powell, Utah/Arizona","X) MONO LAKE, CALIFORNIA",Multiple Choice,Which of the following BEST explains why Mono Lake in California is hypersaline: W) it has no outlet and a high evaporation rate X) it is subject to extreme saltwater intrusion emanating from a vast system of underground aquifers Y) it is underlain by massive salt domes formed 250 million years ago Z) it has been subjected to periodic eruptions of volcanic ash,W) IT HAS NO OUTLET AND A HIGH EVAPORATION RATE,SciBowlDB
GENERAL SCIENCE,Multiple Choice,"Most VOC’s, or volatile organic compounds, are: W) hydrocarbons X) oxides Y) nitrogenous wastes Z) particulates",W) HYDROCARBONS,Short Answer,A 25-microliter blood serum sample contains 50 micrograms of an enzyme. What is the enzyme concentration in parts per million?,"2,000 (ACCEPT: 2 x 10^3) (Solution: 50 ug/0.025 ml = 2000 ug/ml = 2000 ppm)",SciBowlDB
ASTRONOMY,Short Answer,What specific class of stars was discovered by Henrietta Leavitt to have special properties that allowed it to be used in measuring long astronomical distances?,CEPHEID VARIABLES,Multiple Choice,"Which of the following most directly addresses that a gas of low density, when excited, will emit light of a certain wavelength: W) Kirchhoff’s second law X) Bode’s second law Y) Wien’s law Z) Balmer’s law",W) KIRCHHOFF’S SECOND LAW,SciBowlDB
BIOLOGY,Multiple Choice,Which of the following molecules would have the most peptide bonds: W) glycogen X) hemoglobin Y) lecithin Z) DNA,X) HEMOGLOBIN,Short Answer,Name all of the following 4 substances that would typically be considered exocrine products: insulin; pepsin; hemoglobin; epinephrine,PEPSIN,SciBowlDB
CHEMISTRY,Multiple Choice,Which of the following would be LEAST applicable for determining the end point in a titration experiment: W) pH meter X) phenolphthalein (read as: fee-knoll-THAY-lean) solution Y) potentiometer Z) mass spectrometry,Z) MASS SPECTROMETRY,Multiple Choice,Which of the following gases will have the LOWEST freezing point: W) hydrogen X) water Y) helium Z) carbon dioxide,Y) HELIUM,SciBowlDB
PHYSICS,Short Answer,"By what factor will the gravitational attraction between two masses be multiplied, if the distance between their centers of mass remains the same, but the mass of one doubles?",2 TIMES (ACCEPT: 2 or DOUBLES),Multiple Choice,Which of the following occurs when a glass tube is rubbed with a silk cloth: W) protons are transferred from the silk to the glass tube X) protons are transferred from the glass tube to the silk Y) electrons are transferred from the silk to the glass tube Z) electrons are transferred from the glass tube to the silk,Z) ELECTRONS ARE TRANSFERRED FROM THE GLASS TUBE TO THE SILK,SciBowlDB
MATH,Short Answer,"What are the leading coefficient and degree, respectively, of the following polynomial: `3x^2 - 6x^5 + 7`",LEADING COEFFICIENT = -6; DEGREE = 5,Short Answer,"The terminal side of angle `\theta` (read as: theta) in standard position passes through the point (-5, 12). Find the sine, cosine and tangent, in fractional form:",SIN = `12/13`; COS = `-5/13`; TAN = `-12/5`,SciBowlDB
EARTH SCIENCE,Multiple Choice,Which of the following is both fluorescent and radioactive: W) calcite X) halite Y) talc Z) zircon,Z) ZIRCON,Multiple Choice,Which of the following both have very similar chemical compositions but exhibit different colors: W) ruby and sapphire X) opal and pearl Y) diamond and quartz Z) amber and citrine,W) RUBY AND SAPPHIRE,SciBowlDB
GENERAL SCIENCE,Multiple Choice,Which of the following has the largest seasonal hypoxic zone in coastal waters of the western hemisphere: W) the Chesapeake Bay X) the Gulf of Maine Y) the Gulf of Mexico Z) Hudson Bay,Y) THE GULF OF MEXICO,Multiple Choice,"The hypoxic zone in the Gulf of Mexico, and many other areas in the world, is largely caused by the influx of which of the following into waterways: W) phosphorous X) nitrogen Y) potassium Z) sulfur",X) NITROGEN,SciBowlDB
ASTRONOMY,Multiple Choice,Which of the following is NOT true of coronal mass ejections: W) they can lead to a loss in radio communications X) they can indirectly cause damage to electrical transformers Y) they typically will not damage space-based satellites Z) the next peak of ejections will likely be during the years 2010 to 2012,Y) THEY TYPICALLY WILL NOT DAMAGE SPACE-BASED SATELLITES,Short Answer,"Choosing from upper left, upper right, lower left, and lower right, where on the HR diagram would a blue Supergiant be found?",UPPER LEFT,SciBowlDB
BIOLOGY,Short Answer,What is the common name for the units in DNA to which phosphates are covalently linked?,RIBOSE SUGARS (ACCEPT: PENTOSE SUGARS or SUGARS or DEOXYRIBOSE SUGARS),Multiple Choice,Which of the following is LEAST accurate regarding human genetics: W) genes from gametes are typically unchanged during their passage to the zygote X) the zygote gets 1 allele from each parental gene pair Y) all genes independently segregate Z) the number of copies of a particular gene can vary among individuals,Y) ALL GENES INDEPENDENTLY SEGREGATE (Solution: genes on the same chromosome do not independently segregate),SciBowlDB
CHEMISTRY,Multiple Choice,Which of the following is a substance that is very reactive with the oxygen in air and must be stored under water or some other substance to keep it from becoming incendiary: W) fullerene X) white phosphorous Y) calcium fluoride Z) calcium oxide,X) WHITE PHOSPHOROUS,Multiple Choice,Which of the following best describes the catalyst in the destruction of ozone by chlorofluorocarbons: W) homogeneous X) heterogeneous Y) enzymatic Z) autocatalytic,"W) HOMOGENEOUS (Solution: all in the same phase, namely gases)",SciBowlDB
PHYSICS,Multiple Choice,"Which of the following BEST describes how and why electrical resistance is related to temperature: W) as temperature increases, resistance decreases because electrons move faster X) as temperature increases, resistance decreases because electrons are lost from the conductor Y) as temperature increases, resistance increases because protons move faster Z) as temperature increases, resistance increases because atoms vibrate more, increasing electron scattering","Z) AS TEMPERATURE INCREASES, RESISTANCE INCREASES BECAUSE ATOMS VIBRATE MORE, INCREASING ELECTRON SCATTERING",Short Answer,"A 10-kilogram hay bale is raised to 5 meters above a barn floor and is then lowered to 4 meters below the floor. Relative to its starting position on the floor, what is the final gravitational potential energy of the bale, in joules, if g is rounded to the first decimal place?",-392 (must give negative value) (ACCEPT: 392 JOULES LESS),SciBowlDB
MATH,Short Answer,"Identify the type of conic section represented by the equation, `x^2 - 16y^2 = 64`:",HYPERBOLA,Short Answer,"Giving your answer in millimeters squared, find the lateral surface area of a right pentagonal prism whose altitude is 12 millimeters and base has sides of length 8, 10, 12, 14, and 16 millimeters, respectively:",720,SciBowlDB
EARTH SCIENCE,Multiple Choice,Aeolian sandstones are produced primarily by sand grain motion as a result of: W) river currents X) ocean currents Y) glacial transports Z) winds,W) WINDS,Multiple Choice,"According to the Continental Drift Theory, Australia remained attached to Antarctica until the 2 entities drifted apart about how many million years ago: W) 80 X) 120 Y) 250 Z) 350",W) 80,SciBowlDB
GENERAL SCIENCE,Multiple Choice,From which of the following sources is the food additive carrageenan (read as: carr-ah-GEE-nan) derived: W) petroleum X) seaweed Y) corn husks Z) yarrow root,X) SEAWEED,Short Answer,"When emissions of nitrogen oxides and VOC’s react in the presence of sunlight, what ground-level pollutant is formed?",OZONE (ACCEPT: O3),SciBowlDB
ASTRONOMY,Short Answer,What 2 planets of our solar system are most alike in elemental makeup to the solar nebula?,JUPITER; SATURN,Short Answer,Order the following 4 stars from the HOTTEST to the COOLEST: K-3; K-2; B-7; M-10,B-7; K-2; K-3; M-10,SciBowlDB
BIOLOGY,Short Answer,What is the specific type of protein from which spindle fibers are composed?,TUBULIN (ACCEPT: ALPHA AND/OR BETA TUBULIN),Short Answer,Name all of the following 4 diseases that are caused by protists: botulism; rabies; typhoid fever; toxoplasmosis,TOXOPLASMOSIS,SciBowlDB
CHEMISTRY,Short Answer,What is the most common term for the direct addition of water to an alkene (read as: al-KEEN) to make an alcohol?,HYDRATION,Short Answer,"Under constant temperatures, a sample of gas at a pressure of 120 kilopascals is allowed to expand from 2 liters to 8 liters. Calculate the new pressure, in kilopascals:",30 (Solution: P1V1 = P2V2; (120 kPa)(2L) = (P2)(8L); = 30 kPa),SciBowlDB
PHYSICS,Short Answer,Which of the 4 basic forces of the universe is most directly related to the ability of various metals to be hammered and formed into various shapes?,ELECTROMAGNETIC (FORCE),Short Answer,"Given that the speed of sound at 0°C at sea level in dry air is 331 meters per second, what is the speed of sound through dry air at sea level, giving your answer in proper SI units rounded to the nearest whole number, if the temperature of the air is 12°C?",338 METERS PER SECOND (must give units) (Solution: 0.6 x 12 + 331 = 338.2 m/s),SciBowlDB
BIOLOGY,Short Answer,What class of immunoglobulins is most directly responsible for hay fever and common allergies in humans?,IgE (ACCEPT: E or IMMUNOGLOBULIN E),Short Answer,Name all of the following 4 cells that typically possess mitochondria: erythrocytes; plasma cells; lymphocytes; neurons,PLASMA CELLS; LYMPHOCYTES; NEURONS (ACCEPT: ALL BUT ERYTHROCYTES),SciBowlDB
CHEMISTRY,Multiple Choice,Which of the following is NOT true: W) any foreign substance added to water will cause a freezing point drop X) a nonvolatile solute raises the boiling point of a solvent Y) methane has a higher boiling point than ethane Z) freezing point depression is a colligative property,Y) METHANE HAS A HIGHER BOILING POINT THAN ETHANE,Short Answer,"According to standard chemical nomenclature, what is the formula for aluminum bicarbonate?",Al(HCO3)3,SciBowlDB
BIOLOGY,Multiple Choice,Which of the following types of biological molecules is digested by trypsin: W) proteins X) nucleic acids Y) carbohydrates Z) lipids,W) PROTEINS,Short Answer,Name all of the following 4 choices that are typically considered human autoimmune dysfunctions: Rheumatoid arthritis; Lupus; shingles; Down’s syndrome,RHEUMATOID ARTHRITIS; LUPUS,SciBowlDB
PHYSICS,Multiple Choice,Which of the following is closest to the radius of a hydrogen nucleus: W) 1 micrometer X) 1 angstrom Y) 1 picometer Z) 1 femtometer,Z) 1 FEMTOMETER,Short Answer,"Consider a planet where g equals 5.0 meters per second squared. Ignoring friction, if an object started from rest, how far would it fall vertically off a cliff in 4.0 seconds, giving your answer in standard SI units?",40 METERS (must give units),SciBowlDB
EARTH SCIENCE,Short Answer,"What is the third most common gas naturally found in the Earth’s clean, dry atmosphere?",ARGON,Multiple Choice,The Earth’s greenhouse effect is primarily caused by which of the following: W) incoming solar ultraviolet light is absorbed by the ozone layer X) outgoing infrared solar radiation is trapped by the lower atmosphere Y) incoming infrared solar radiation is trapped by the magnetic field Z) outgoing X-rays are absorbed by the troposphere and reflected to the Earth’s surface,X) OUTGOING INFRARED SOLAR RADIATION IS TRAPPED BY THE LOWER ATMOSPHERE,SciBowlDB
GENERAL SCIENCE,Multiple Choice,Ed the entomologist is setting up mosquito traps in a farmer’s field in Nebraska. Which of the following would be the BEST mosquito attractant to ensure he traps the greatest number and variety of mosquitoes: W) oxygen X) nitrogen Y) dry ice Z) methane,Y) DRY ICE (Solution: mosquitoes attracted to CO2),Short Answer,"Rounded to the nearest whole number, convert 3,000 meters per second into kilometers per hour:","10,800",SciBowlDB
ASTRONOMY,Multiple Choice,Which of the following is LEAST accurate: W) most stars visible to the unaided eye are part of the Milky Way galaxy X) there are 88 constellations officially recognized by the IAU Y) a red supergiant has a hotter surface than our Sun Z) the constellation Leo is located within 9° of the ecliptic,Y) A RED SUPERGIANT HAS A HOTTER SURFACE THAN OUR SUN,Multiple Choice,Which of the following is NOT true: W) the core of a red supergiant is hotter than the core of a main sequence K-type star X) helium flash is something that occurs in red giant stars Y) the Pleiades is an open star cluster Z) there is more lithium than carbon in the universe,Z) THERE IS MORE LITHIUM THAN CARBON IN THE UNIVERSE,SciBowlDB
CHEMISTRY,Multiple Choice,"Carbon monoxide, or CO, will be adsorbed (read as: ADD-sorbed) onto the surface of which of the following metals the MOST strongly: W) iron X) nickel Y) cobalt Z) gold",W) IRON,Short Answer,Arrange the following 3 choices in order of increasing bond energies: O2; N2; F2,F2; O2; N2,SciBowlDB
BIOLOGY,Multiple Choice,At which of the following pH levels will human pepsin be most active: W) 2 X) 4 Y) 6 Z) 8,W) 2,Short Answer,What is the most plentiful class of immunoglobulins in human plasma?,IgG (ACCEPT: G or IMMUNOGLOBULIN G),SciBowlDB
PHYSICS,Short Answer,What constant is given as the amount of electric charge per mole of electrons?,FARADAY CONSTANT (ACCEPT: FARADAY),Multiple Choice,Which of the following best describes the direction of the force on an electron moving through a magnetic field: W) opposite to the direction of the velocity X) the same direction as the velocity Y) the same direction as the magnetic field Z) perpendicular to the magnetic field,Z) PERPENDICULAR TO THE MAGNETIC FIELD,SciBowlDB
MATH,Multiple Choice,Which of the following is a second quadrant angle in standard position: W) 500° X) -180° Y) -680° Z) 930°,W) 500°,Short Answer,"Giving your answer in simplest radical form, rationalize the denominator of the following expression: `(-3sqrt(2))/((sqrt(3)-sqrt(5))`",`(3sqrt(6) + 3sqrt(10))/2`,SciBowlDB
EARTH SCIENCE,Multiple Choice,"Which of the following minerals occurs in small amounts in many igneous rocks, is black and shiny, often occurs in small hexagonal blocks, and is soft with good cleavage: W) biotite X) olivine Y) plagioclase Z) quartz",W) BIOTITE,Multiple Choice,Which of the following is NOT true of basalt and gabbro: W) they formed from magma at the same temperature X) they are derived from basaltic magma Y) they formed from magma with the same silica content Z) they are both intrusive igneous rocks,Z) THEY ARE BOTH INTRUSIVE IGNEOUS ROCKS (Solution: basalt = extrusive; gabbro = intrusive),SciBowlDB
GENERAL SCIENCE,Multiple Choice,"A standard rain gauge consists of a metal canister open at the top in which a funnel drains rainwater into a narrow cylinder. Each time they are deployed to the field, a small amount of light oil is added to the cylinder. This is done to: W) deter birds from drinking the water X) stop the canister from oxidizing Y) prevent the growth of blue-green algae Z) prevent water evaporation",Z) PREVENT WATER EVAPORATION,Multiple Choice,Which of the following is a widely-used analgesic and antipyretic medication which is not considered an NSAID (read as: en-say’d): W) acetylcysteine X) acetaminophen Y) acetylsalicylic acid Z) ibuprophen,X) ACETAMINOPHEN,SciBowlDB
ASTRONOMY,Multiple Choice,Which of the following is LEAST likely to occur for a stargazer observing from mid-northern latitudes during summer months: W) the planet Venus passing within a few degrees of the Moon a few hours after sunset X) the Moon at perigee Y) the planet Saturn passing with 5 degrees of the Moon Z) the planet Mercury within 10 degrees of the zenith,Z) THE PLANET MERCURY WITHIN 10 DEGREES OF THE ZENITH,Short Answer,Through how many degrees does the Earth rotate in 8 hours?,120 (Solution: 15° per hour = 8 x 15° = 120°),SciBowlDB
CHEMISTRY,Multiple Choice,The molal (read as: moe-lahl) is a concentration unit that is most appropriately used in experimental designs that determine: W) freezing point depression X) osmotic pressure Y) density Z) vapor pressure lowering,W) FREEZING POINT DEPRESSION,Short Answer,"A 4.0 gram sample of calcium chloride contains 6.0 x 10^22 cations. Giving your answer in scientific notation to the nearest whole number, determine the number of anions in 2 grams of CaCl2. Assume the atomic mass of calcium is 40 and chloride is 35.",6 x 10^22 (Solution: (2g CaCl2)(6.0 x 10^22 Ca2+/4g CaCl2)(2 Cl-/1 Ca2+) = 6.0 x 10^22 Cl-),SciBowlDB
BIOLOGY,Multiple Choice,Which of the following is the main target of bacteria by the antibiotic penicillin: W) energy production X) DNA synthesis Y) cell wall synthesis Z) translation,Y) CELL WALL SYNTHESIS,Short Answer,What is the most common term for the form of protection when a non-poisonous frog has the same appearance as a poisonous frog?,BATESIAN MIMICRY (ACCEPT: MIMICRY or WARNING MIMICRY) (DO NOT ACCEPT: MULLERIAN MIMICRY),SciBowlDB
PHYSICS,Multiple Choice,"During positron emission, which of the following most likely occurs: W) a proton changes to an electron X) a proton changes to a neutron Y) a neutron changes to an electron Z) a neutron changes to a proton",X) A PROTON CHANGES TO A NEUTRON,Short Answer,Name all of the following 4 isotopes that release energy if they undergo fission: helium-4; hydrogen-2; uranium-235; iron-56,URANIUM-235,SciBowlDB
MATH,Short Answer,"Identify the type of conic section represented by the equation, `x^2 + y^2 + 10y + 16 = 0`:",CIRCLE (Solution: `x^2 + (y + 5)^2 = 9`),Short Answer,"Find the area, in centimeters squared and in simplest radical form, of a regular or equilateral triangle whose circumcircle has a radius of 8 centimeters:",`48sqrt(3)`,SciBowlDB
EARTH SCIENCE,Short Answer,What type of fog frequently forms in valleys when the wind is light and the ground cools until the dew point is reached?,RADIATION FOG (ACCEPT: RADIATION or RADIATIONAL) (Solution: brought about by radiational cooling),Short Answer,"Giving your answer as morning, afternoon, evening, or night, when does most radiational cooling occur for any location in the U.S.?",NIGHT,SciBowlDB
GENERAL SCIENCE,Short Answer,What is the sling psychrometer used to measure?,HUMIDITY (ACCEPT: RELATIVE HUMIDITY; AMBIENT HUMIDITY),Multiple Choice,From which of the following is camphor derived: W) petroleum distillate X) the wood of an evergreen tree of the laurel family Y) the bark of a fir tree from the Mediterranean Z) the seed pod of the camphor herb,X) THE WOOD OF AN EVERGREEN TREE OF THE LAUREL FAMILY,SciBowlDB
ASTRONOMY,Short Answer,"As seen from the Earth, what planet has the smallest maximum eastern elongation?",MERCURY,Short Answer,"Choosing from noon, sunset, midnight or sunrise, at what time of the day does a new Moon rise for an observer at mid-northern latitudes in September?",SUNRISE,SciBowlDB
CHEMISTRY,Short Answer,"What is the electron capacity in each of the 4 sublevels s, p, d, and f, respectively?",s = 2; p = 6; d = 10; f = 14,Short Answer,"A sample of oxygen gas is collected over water at 14°C. Knowing that the vapor pressure of water at 14°C is 1.6 kilopascals, and that the pressure of the resultant mixture is 120 kilopascals, find the pressure, to the first decimal place, exerted by the dry oxygen alone:",118.4 (Solution: Pdry = ?t - Pwv = 120 kPa - 1.6 kPa = 118.4 kPa),SciBowlDB
BIOLOGY,Short Answer,What cell in the peripheral blood is the immediate precursor of the macrophage?,MONOCYTE,Short Answer,Name all of the following 4 cells that are leukocytes: neutrophil; basophil; melanocyte; macrophage,NEUTROPHIL; BASOPHIL,SciBowlDB
PHYSICS,Short Answer,"As opposed to spontaneous emission, what is the type of emission, first theorized by Albert Einstein, where a photon interacts with an atom’s electron which, when it returns to a ground state, emits a coherent photon?",STIMULATED EMISSION (ACCEPT: STIMULATED),Short Answer,Order the following 4 choices from the one with the LOWEST temperature to the one with the HIGHEST temperature: copper freezes; water boils; solar corona; lead melts,WATER BOILS; LEAD MELTS; COPPER FREEZES; SOLAR CORONA,SciBowlDB
MATH,Short Answer,Simplify `i^17`(read as: i to the 17th power):,i,Short Answer,Solve the following equation for x: `2^7 xx 2^(x^2 -2) = 2^21`,4 OR -4 (ACCEPT: `x = +-4`),SciBowlDB
PHYSICS,Multiple Choice,The Meissner effect is most directly associated with which of the following: W) superconductors X) rare earth magnets Y) very strong electromagnets Z) Tesla coils,W) SUPERCONDUCTORS,Short Answer,"Rounding g to the first decimal place, how many newtons are required to keep a 120-kilogram sled moving at a constant velocity across a pond if there is a frictional coefficient of 0.20 between the sled and the pond’s surface? Round your answer to the nearest whole number.",235 (Solution: 0.2 x 120 kg x 9.8m/s2 = 235.2 N),SciBowlDB
