category,tossup_type,tossup_question,tossup_answer,bonus_type,bonus_question,bonus_answer,parent_packet
Physics,Short Answer,"A spaceship of length 50 meters is traveling at 0.8c. To a stationary observer, how long does the spaceship appear, in meters? ",30,Short Answer,A positron exceeds the speed of light within glass and emits what characteristic blue radiation as a result? ,Cherenkov radiation,C:\Users\va648\PycharmProjects\ScibowlScrim-Backend\External Packets\Prometheus\Ignis DE1
Chemistry,Short Answer,Order the following three metals by increasing reactivity with a solution of hydrochloric acid: 1) Iron; 2) Copper; 3) Sodium ,"2, 1, 3",Multiple Choice,Which of the following elements has the most exothermic first electron affinity? W) Nitrogen X) Phosphorus Y) Oxygen Z) Sulfur ,Z) Sulfur,C:\Users\va648\PycharmProjects\ScibowlScrim-Backend\External Packets\Prometheus\Ignis DE1
Earth and Space,Short Answer,What features in the asteroid belt are pro- duced by Jupiter’s gravitational field effecting asteroid orbits? ,Kirkwood gaps,Short Answer,Jets from the poles of active spinning black holes are partially powered by what field that accelerates charged particles out of the galactic plane? ,Magnetic field (ACCEPT: Magnetic force),C:\Users\va648\PycharmProjects\ScibowlScrim-Backend\External Packets\Prometheus\Ignis DE1
Biology,Short Answer,What phylum does the causative agent of trichinosis belong to? ,Nematoda,Short Answer,Identify all of the following three relationships for humans that would have a coefficient of relatedness of 1/8: 1) First cousin; 2) Aunt; 3) Half brother. ,1 only,C:\Users\va648\PycharmProjects\ScibowlScrim-Backend\External Packets\Prometheus\Ignis DE1
Physics,Short Answer,A ball falls from a building for 1 second. What is the ratio of the distances traveled by the ball during the first 0.2 seconds to the last 0.8 seconds? ,124 (ACCEPT: 1 to 24),Short Answer,Which non-inertial reference frame force arises due to the rotation of the earth and motion of the object on the earth’s surface and deflects the object’s trajectory? ,Coriolis force,C:\Users\va648\PycharmProjects\ScibowlScrim-Backend\External Packets\Prometheus\Ignis DE1
Chemistry,Short Answer,How many angular nodes are in a 3p orbital? ,1,Short Answer,Order the following three bonds from weakest to strongest: 1) C-H single bond; 2) C-C single bond; 3) C-C double bond ,"2, 1, 3",C:\Users\va648\PycharmProjects\ScibowlScrim-Backend\External Packets\Prometheus\Ignis DE2
Earth and Space,Multiple Choice,Which of the following soil horizons is the shallowest?  W) A  X) B  Y) C  Z) E ,W) A,Short Answer,What is the name for the process which gen- erates precipitation via the growth of ice crystals in supercooled clouds? ,Bergeron process,C:\Users\va648\PycharmProjects\ScibowlScrim-Backend\External Packets\Prometheus\Ignis DE2
Biology,Short Answer,What enzyme is responsible for cleaving pre-miRNA hairpins into mature pre-miRNAs? ,DICER,Multiple Choice,Which of the following would NOT occur during photosynthesis? W) Increase in pH of the stroma X) Increase in ATP production Y) Reduction of oxygen into water Z) Increase in G3P production ,Y) Reduction of oxygen into water,C:\Users\va648\PycharmProjects\ScibowlScrim-Backend\External Packets\Prometheus\Ignis DE2
Physics,Short Answer,"A circular loop on a roller coaster is built with a radius of 5 meters. To the nearest meter per second, what is the minimum velocity at the top of the loop that would allow the cart to complete the loop? ",7,Multiple Choice,Which of the following is an example of a non- inertial reference frame? W) An object moving at constant velocity through a viscous medium X) A stationary electric charge Y) A stationary charged particle in a magnetic field Z) A particle rotating at a constant speed ,Z) A particle rotating at a constant speed,C:\Users\va648\PycharmProjects\ScibowlScrim-Backend\External Packets\Prometheus\Ignis DE2
Chemistry,Short Answer,"The equilibrium constant for the reaction A + B −−→ C is K. For the reaction 3C −−→ 3A + 3B , what is the equilibrium constant in terms of K? ",1/K3,Short Answer,"In the OF+ cation, what is the bond order of the oxygen fluorine bond? ",2,C:\Users\va648\PycharmProjects\ScibowlScrim-Backend\External Packets\Prometheus\Ignis DE2
Earth and Space,Multiple Choice,Which of the following statements is not true of chondrites?  W) They can contain volatiles  X) They cooled extremely quickly  Y) They likely condensed at high temperatures near the solar nebula  Z) They have Widmanstatten patterns ,Z) They have Widmanstatten [WID-min-stot-in] patterns,Multiple Choice,"Which of the following best explains why in some binary systems, more massive stars are observed to be in the same stage of life as less massive stars, implying that they have similar life spans to lesser mass stars? W) The more massive star formed later than the less massive star X) The more massive star’s fusion is disrupted through gravitational heating Y) The more massive star transfers mass to the younger star while it is evolving Z) The less massive star heats up more rapidly due to the Kelvin-Helmholtz mech- anism ",Y) The more massive star transfers mass to the younger star while it is evolving,C:\Users\va648\PycharmProjects\ScibowlScrim-Backend\External Packets\Prometheus\Ignis DE2
Biology,Short Answer,What molecules are used in Sanger sequencing to induce chain termination of DNA strands? ,Dideoxy nucleotide triphosphates (ACCEPT: ddNTPs),Short Answer,"During the termination of transcription, order the following three steps in the order of which they occur: 1) Reading of the polyadeny- lation signal; 2) Release of RNA from the tran- scription complex; 3) Reading of the stop codon. ","3, 1, 2",C:\Users\va648\PycharmProjects\ScibowlScrim-Backend\External Packets\Prometheus\Ignis DE2
Physics,Multiple Choice,What is the direction of propagation for an elec- tromagnetic wave where the electric field is moving in the positive x direction and the magnetic field is moving in the positive z direction?  W) Positive y  X) Negative y  Y) Positive z  Z) Negative z ,X) Negative y,Short Answer,"A circuit is created from three resistors in parallel with resistances of 1 ohm, 2 ohms, and 4 ohms, respectively. The circuit is then attached to an 8 volt battery. What is the total power output of the circuit in watts? ",112,C:\Users\va648\PycharmProjects\ScibowlScrim-Backend\External Packets\Prometheus\Ignis DE2
Chemistry,Multiple Choice,Which of the following elemental properties monotonically increases down the alkali earth metal group on the periodic table?  W) Atomic radius  X) Melting point  Y) Ionization energy  Z) Electron affinity ,W) Atomic radius,Short Answer,Order the following three substances by increas- ing vapor pressure in their solid state: 1) Carbon dioxide; 2) Water; 3) Ammonia. ,"2, 3, 1",C:\Users\va648\PycharmProjects\ScibowlScrim-Backend\External Packets\Prometheus\Ignis DE2
Earth and Space,Multiple Choice,"A large storm blows to the north and encounters a mountain range, where it exhibits orographic lifting. Which of the following locations would receive the most precipitation?  W) Southern mountainside  X) Top of the mountain  Y) Northern mountainside  Z) Plain north of the mountains ",W) Southern mountainside,Multiple Choice,The Permian-Triassic extinction was caused by a rapid increase of atmospheric carbon dioxide due to which of the following events? W) Volcanic eruptions X) Ozone layer destruction Y) Ocean anoxia Z) Meteor impact ,W) Volcanic eruptions,C:\Users\va648\PycharmProjects\ScibowlScrim-Backend\External Packets\Prometheus\Ignis DE2
Biology,Multiple Choice,Which of the following best describes the change in mean pressure as blood traverses from the aorta to the veins?  W) Decreases then increases  X) Increases then decreases  Y) Decreases  Z) Increases ,Y) Decreases,Short Answer,Identify all of the following three interactions that dominate in secondary structure: 1) Hydrophobic interactions; 2) Disulfide bonds; 3) Hydrogen bonding between R groups. ,None,C:\Users\va648\PycharmProjects\ScibowlScrim-Backend\External Packets\Prometheus\Ignis DE2
Physics,Short Answer,"The law of reflection, stating that the incident angle of a ray of light is equal to the angle at which it is reflected, assumes what type of reflection is occurring? ",Specular,Short Answer,"Calculate the moment of inertia, in kilogram-meters squared, about a central axis of a hollow sphere of radius 5 meters and mass 3 kilograms. ",50,C:\Users\va648\PycharmProjects\ScibowlScrim-Backend\External Packets\Prometheus\Ignis DE2
Chemistry,Short Answer,"In a single-step reaction, what term describes the difference in potential energy between the reactants and the transition state? ",Activation energy,Short Answer,What is the molecular geometry of the central sulfur atom in sulfur tetrafluoride? ,Seesaw,C:\Users\va648\PycharmProjects\ScibowlScrim-Backend\External Packets\Prometheus\Ignis DE2
Earth and Space,Short Answer,What name is given to the process of mass decay caused by virtual particles slipping beyond an event horizon? ,Hawking radiation,Short Answer,Identify all of the following three statements that are true of Population II stars: 1) They are common in open clusters; 2) They are metal rich; 3) They have highly eccentric orbits. ,3 only,C:\Users\va648\PycharmProjects\ScibowlScrim-Backend\External Packets\Prometheus\Ignis DE2
Biology,Multiple Choice,Which of the following best describes how lipid soluble hormones that are NOT steroids typically elicit a response?  W) Bind to cell surface receptors  X) Bind to transcription factors in the cytosol  Y) Bind to transcription factors in the nucleus  Z) Bind to nascent mRNA transcripts in the nucleus ,Y) Bind to transcription factors in the nucleus,Short Answer,Identify all of the following three diseases that are genetically dominant: 1) Albinism; 2) Cystic Fibrosis; 3) Gigantism. ,3,C:\Users\va648\PycharmProjects\ScibowlScrim-Backend\External Packets\Prometheus\Ignis DE2
Physics,Short Answer,Nuclear fusion within stars can occur once atoms overcome the intense Coulomb interactions. One way of doing this is through what phenomenon based on the low probability of the atomic wave transmitting through the barrier? ,Quantum tunneling (ACCEPT: Tunneling),Short Answer,"When a point charge is placed very far away from the surface of a thin spherical conducting shell with uniform volume density, it experiences an electric field E. If the radius of the shell is doubled, what will be the new electric field experienced by the test charge in terms of E? ",E,C:\Users\va648\PycharmProjects\ScibowlScrim-Backend\External Packets\Prometheus\Ignis DE2
Chemistry,Short Answer,Identify all of the following three properties of water that are expected to increase upon adding a non-volatile solute to form an aqueous solution: 1) Freezing point; 2) Boiling point; 3) Vapor pressure. ,2 only,Multiple Choice,Which of the following are the signs of ∆H and ∆S for a reaction that is spontaneous at all temperatures? W) Positive and positive X) Positive and negative Y) Negative and positive Z) Negative and negative ,Y) Negative and positive,C:\Users\va648\PycharmProjects\ScibowlScrim-Backend\External Packets\Prometheus\Ignis DE3
Earth and Space,Multiple Choice,Which of the following minerals falls on the continuous series of crystallization in Bowen’s reaction series?  W) Amphibole  X) Plagioclase  Y) Pyroxene  Z) Olivine ,X) Plagioclase,Short Answer,Identify all of the following three types of plutons that are discordant: 1) Dikes; 2) Sills; 3) Laccoliths. ,1 only,C:\Users\va648\PycharmProjects\ScibowlScrim-Backend\External Packets\Prometheus\Ignis DE3
Biology,Multiple Choice,During which phase of the cell cycle does the nu- clear membrane disintegrate?  W) Prophase  X) Prometaphase  Y) Metaphase  Z) Anaphase ,X) Prometaphase,Multiple Choice,Which of the following best describes a K-selected species? W) Semelparous X) Unstable environment Y) Exponential growth Z) Type I survivorship curve ,Z) Type I survivorship curve,C:\Users\va648\PycharmProjects\ScibowlScrim-Backend\External Packets\Prometheus\Ignis DE3
Physics,Short Answer,What type of elastic scattering by the Coulomb po- tential occurs when alpha particles are fired at gold nuclei? ,Rutherford scattering,Short Answer,A particle’s position along x is given by the function x(t) = 5t3 − 4t and its velocity is denoted as v(t). Identify all of the following three statements that are true about this particle: 1) There is work being done on the particle; 2) The particle is accelerating; 3) The speed at t = 2 is greater than at t = 1. ,All,C:\Users\va648\PycharmProjects\ScibowlScrim-Backend\External Packets\Prometheus\Ignis DE3
Chemistry,Multiple Choice,Which of the following ions is amphoteric in water?  W) Sulfate  X) Bisulfite  Y) Oxalate  Z) Phosphate ,X) Bisulfite,Short Answer,Order the following three salts by increasing solu- bility in water: 1) Ag2SO4; 2) MgCl2; 3) AgCl. ,"3, 1, 2",C:\Users\va648\PycharmProjects\ScibowlScrim-Backend\External Packets\Prometheus\Ignis DE3
Earth and Space,Multiple Choice,"In the most massive of stars, a sudden decrease in radiation pressure may be caused by what phenomenon, causing a premature supernova detonation without a remnant?  W) Photodisintegration  X) Pair production  Y) Entanglement  Z) Stellar flare ",X) Pair production,Multiple Choice,Soft gamma repeaters are a type of which of the following astronomical objects? W) Black hole X) Quasar Y) Magnetar Z) Pulsar ,Y) Magnetar,C:\Users\va648\PycharmProjects\ScibowlScrim-Backend\External Packets\Prometheus\Ignis DE3
Biology,Short Answer,"Borrelia Burgdorferi is the causative agent of what disease, which causes a bulls-eye rash to appear on the skin? ",Lyme disease,Multiple Choice,Which of the following molecules is NOT in- volved in the mediation of long term potentiation? W) Glutamate X) NMDA receptors Y) 5-HT receptors Z) AMPA receptors ,Y) 5-HT receptors,C:\Users\va648\PycharmProjects\ScibowlScrim-Backend\External Packets\Prometheus\Ignis DE3
Physics,Multiple Choice,"A loop of wire is set up so that it wraps around the z-axis, while a constant magnetic field points in the z-direction. Which of the following would NOT induce a current in the wire loop?  W) Decreasing the magnetic field along the z-axis  X) Increasing loop area along the z-axis  Y) Rotating the loop about the y-axis  Z) Rotating the loop around the z-axis ",Z) Rotating the loop around the z-axis,Short Answer,"A RC circuit has two 20 Ohm resistors set up in parallel and three 1.5 Farad capacitors in series. What is the effective resistance and capacitance of the resistors and capacitors in ohms and farads, respectively? ",10 and 0.5,C:\Users\va648\PycharmProjects\ScibowlScrim-Backend\External Packets\Prometheus\Ignis DE3
Chemistry,Multiple Choice,What variable is held constant in a bomb calorime- ter ?  W) Temperature  X) Pressure  Y) Volume  Z) Enthalpy ,Y) Volume,Short Answer,How many atoms are in a body-centered cubic unit cell? ,2,C:\Users\va648\PycharmProjects\ScibowlScrim-Backend\External Packets\Prometheus\Ignis DE3
Earth and Space,Short Answer,"Peter discovers a drumlin field and decides to go sledding. He notices that his sled always goes slowest when sledding to- wards the southwest. Based on this information, in what direction did the glaciers recede? ",Northeast,Short Answer,What term describes the feature formed by oceanic sediments scraped off the subducting plate onto the obducting plate? ,Accretionary wedge (ACCEPT: Accretionary prism),C:\Users\va648\PycharmProjects\ScibowlScrim-Backend\External Packets\Prometheus\Ignis DE3
Biology,Short Answer,Identify all of the following three changes that would increase the conduction speed of a neuron: 1) Increase in diameter; 2) Increase in length; 3) Increase in myelination. ,1 and 3,Multiple Choice,"How many molecules of ATP and NADPH are required respectively for the reduction of 3 molecules of carbon dioxide into glyc- eraldehyde 3 phosphate? W) 9, 6 X) 18, 12 Y) 12, 18 Z) 18, 18 ","W) 9, 6",C:\Users\va648\PycharmProjects\ScibowlScrim-Backend\External Packets\Prometheus\Ignis DE3
Physics,Multiple Choice,"Which of the following time and force pairs will result in the largest change in momentum for a particle?  W) 1 second, 100 Newtons  X) 2 seconds, 55 Newtons  Y) 3 seconds, 35 Newtons  Z) 4 seconds, 25 Newtons ","X) 2 seconds, 55 Newtons",Multiple Choice,Which of the following descriptions of an elec- tromagnetic plane wave transmitted through a different medium than the original is true? W) The wave will travel at the speed of light X) The electric field can only point in one direction Y) The electric and magnetic fields must be out of phase Z) The magnetic field can only point in one direction ,Y) The electric and magnetic fields must be out of phase,C:\Users\va648\PycharmProjects\ScibowlScrim-Backend\External Packets\Prometheus\Ignis DE3
Chemistry,Short Answer,Gaseous hydrogen can react with solid iodine to form gaseous hydrogen iodide according to the reaction H2(g) + I2(s) −−→ 2HI (g) . Identify all of the following three changes that would shift the reaction to the right: 1) Adding more iodine; 2) Adding more hydrogen iodide; 3) Increasing the volume. ,3 only,Multiple Choice,"For an ideal sample of gas molecules, which of the following graphs relating temperature and the root-mean-square speed of the gas molecules would yield a straight line? W) Temperature versus speed X) Temperature squared versus speed Y) Temperature versus speed squared Z) Logarithm of temperature versus speed ",Y) Temperature versus speed squared,C:\Users\va648\PycharmProjects\ScibowlScrim-Backend\External Packets\Prometheus\Ignis DE3
Earth and Space,Multiple Choice,"Which of the following best describes the general color trend of the Milky Way from the center outwards?  W) Redder  X) Bluer  Y) Redder, then bluer  Z) Bluer, then redder ",X) Bluer,Multiple Choice,Which of the following best describes the driving factor for spiral arm rotation in the Milky Way? W) Central black hole X) Galactic cluster orbit Y) Galactic merger Z) Stellar density ,Z) Stellar density,C:\Users\va648\PycharmProjects\ScibowlScrim-Backend\External Packets\Prometheus\Ignis DE3
Biology,Multiple Choice,Nicholas takes a random plant in his backyard. and notices that the plant’s stem has dispersed vascular tissue. Which of the fol- lowing observations would he NOT observe?  W) Parallel venation  X) Pollen with a single hole  Y) The lack of a vascular cambium  Z) Flowers with organs in multiples of 5 ,Z) Flowers with organs in multiples of 5,Short Answer,Identify all of the following three features that are present in monocots: 1) Floral organs in multiples of 3; 2) Taproot system; 3) Scattered vascular bundles. ,1 and 3,C:\Users\va648\PycharmProjects\ScibowlScrim-Backend\External Packets\Prometheus\Ignis DE3
Physics,Multiple Choice,A block of mass 4 kilograms is placed on an inclined plane at an angle 30 degrees with respect to the horizontal. What is the minimum coefficient of static friction such that the block will not slip?  W) √ 22  X) √ 32  Y) √ 33  Z) √ 3 2 ,Y)√33,Short Answer,"In SI base units, what are the dimensions of the universal gravitational constant G ? ",m3kg−1s−2,C:\Users\va648\PycharmProjects\ScibowlScrim-Backend\External Packets\Prometheus\Ignis DE3
Chemistry,Short Answer,Order the following three orbitals by increasing shielding effect: 1) 2s; 2) 4d; 3) 3p. ,"2, 3, 1",Short Answer,Order the following three chemical species from least to most polarizable: 1) Methanol; 2) Water; 3) Iodine. ,"2, 1, 3",C:\Users\va648\PycharmProjects\ScibowlScrim-Backend\External Packets\Prometheus\Ignis DE4
Earth and Space,Multiple Choice,"Which of the following plates is not cor- rectly matched with the general direction it is headed?  W) African plate, northeast  X) Pacific plate, northwest  Y) Juan de Fuca plate, northeast  Z) Indo-Australian plate, southwest ","Z) Indo-Australian Plate, south",Short Answer,Order the following three atmospheric bound- aries by increasing temperature: 1) Tropopause; 2) Stratopause; 3) Mesopause. ,"3, 1, 2",C:\Users\va648\PycharmProjects\ScibowlScrim-Backend\External Packets\Prometheus\Ignis DE4
Biology,Multiple Choice,Which of the following structures is derived from the mesoderm?  W) Liver  X) Tooth Enamel  Y) Heart  Z) Cornea ,Y) Heart,Short Answer,"At the end of gastrulation in human embryos, how many extraembryonic membranes are present? ",4,C:\Users\va648\PycharmProjects\ScibowlScrim-Backend\External Packets\Prometheus\Ignis DE4
Physics,Multiple Choice,"In base SI units, the wavenumber has units of:  W) Meters  X) Inverse meters  Y) Seconds  Z) Inverse seconds ",X) Inverse meters,Multiple Choice,Which of the following statements is NOT true in the context of special relativity? W) Information is limited by the speed of light X) Time passes slower for one moving at 0.2c compared to a stationary observer on Earth Y) Relativistic effects are consistent in local models of the Universe Z) Relative velocities of two objects can be summed to find total individual veloc- ities ,Z) Relative velocities of two objects can be summed to find total indi- vidual velocities,C:\Users\va648\PycharmProjects\ScibowlScrim-Backend\External Packets\Prometheus\Ignis DE4
Chemistry,Multiple Choice,What experimental technique should be used to determine the stoichiometry of a metal sulfate hydrate that has been slowly heated over a measuring scale?  W) Chromatography  X) Gravimetry  Y) Mass spectrometry  Z) X-ray diffraction ,X) Gravimetry,Short Answer,Identify all of the following three iodine-containing species that can be both oxidized and reduced: 1) Periodic acid; 2) Hydroiodic acid; 3) Potassium triiodide. ,3 only,C:\Users\va648\PycharmProjects\ScibowlScrim-Backend\External Packets\Prometheus\Ignis DE4
Earth and Space,Short Answer,Identify all of the following three planets in our solar system that are thought to have a metallic component in their core: 1) Mars; 2) Jupiter; 3) Saturn. ,All,Short Answer,"Betelgeuse is a very red star that is classi- fied as M1, with a temperature around 3500 Kelvin. Identify all of the following three spectral lines that Betelgeuse would strongly exhibit: 1) Ionized helium; 2) Hydrogen; 3) Iron oxide. ",3 only,C:\Users\va648\PycharmProjects\ScibowlScrim-Backend\External Packets\Prometheus\Ignis DE4
Biology,Short Answer,"In the slow block to polyspermy in sea urchins, activation of the receptor triggers the IP3 DAG cascade, causing the release of calcium from which organelle? ","Endoplasmic reticulum (ACCEPT: ER, smooth ER)",Short Answer,What phylum does the causative agent of malaria belong to? ,Apicomplexans,C:\Users\va648\PycharmProjects\ScibowlScrim-Backend\External Packets\Prometheus\Ignis DE4
Physics,Multiple Choice,The momentum versus position graph of a spring- block system undergoing simple harmonic motion will take on which of the fol- lowing shapes?  W) Ellipse  X) Parabola  Y) Spiral  Z) Cardioid ,W) Ellipse,Multiple Choice,"To the nearest power of 10, what is the de Broglie wavelength of a particle with a mass of 3·10−5 kg moving at a speed of 2·104 meters per second? W) 10−23 X) 10−24 Y) 10−33 Z) 10−34 ",Y) 10−33,C:\Users\va648\PycharmProjects\ScibowlScrim-Backend\External Packets\Prometheus\Ignis DE4
Chemistry,Multiple Choice,"A 0.1 molar solution containing which of the following ions should be used to selectively precipitate silver from a mixture of Ag+, Cu2+, Ba2+, and Li+ ions?  W) Sulfide  X) Sulfate  Y) Fluoride  Z) Chloride ",Z) Chloride,Multiple Choice,"Given that the molar mass of calcium is 40 grams per mole and that of bromine is 80 grams per mole, how many grams of bromine are produced from the electrolysis of molten cal- cium bromide by a 9.6-ampere current for 1000 seconds? W) 4 X) 8 Y) 16 Z) 32 ",X) 8,C:\Users\va648\PycharmProjects\ScibowlScrim-Backend\External Packets\Prometheus\Ignis DE4
Earth and Space,Short Answer,What mineral is the primary ore of zinc? ,Sphalerite [SFAL-er-ite],Short Answer,Order the following three ions by increasing quantity in seawater: 1) Sodium; 2) Chloride; 3) Magnesium. ,"3, 1, 2",C:\Users\va648\PycharmProjects\ScibowlScrim-Backend\External Packets\Prometheus\Ignis DE4
Biology,Multiple Choice,Which of the following would result in an in- crease in the glomerular filtration rate?  W) Increase in blood osmolarity  X) Increase in blood pressure  Y) Dilation of the efferent arteriole  Z) Contraction of the afferent arteriole ,X) Increase in blood pressure,Short Answer,Identify all of the following three processes that oc- cur when rod cells are exposed to light: 1) Opening of Na+ channels; 2) Membrane hyperpolarization; 3) Glutamate release. ,2 only,C:\Users\va648\PycharmProjects\ScibowlScrim-Backend\External Packets\Prometheus\Ignis DE4
Physics,Short Answer,The momentum of relativistic photons is propor- tional to what power of the photon’s energy? ,1,Short Answer,Identify all of the following three types of radiation charged particles may emit due to strong gravitational and magnetic fields: 1) Bremsstrahlung ; 2) Cyclotron; 3) Synchrotron. ,All,C:\Users\va648\PycharmProjects\ScibowlScrim-Backend\External Packets\Prometheus\Ignis DE4
Chemistry,Multiple Choice,Which of the following compounds has the highest pKa?  W) Acetic acid  X) Phenol  Y) Methanol  Z) 1-propane thiol ,Y) Methanol,Short Answer,Identify all of the following three acids that have two equivalence points in their titration curve when titrated against sodium hy- droxide: 1) Oxalic acid; 2) Sulfuric acid; 3) Hydrogen cyanide. ,1 only,C:\Users\va648\PycharmProjects\ScibowlScrim-Backend\External Packets\Prometheus\Ignis DE4
Earth and Space,Short Answer,Identify all of the following three statements regarding current cosmic expansion that are NOT true: 1) Expansion appears faster the further away from the observer; 2) Expansion is completely localized to voids; 3) Expansion is hindered by gravity. ,2 only,Multiple Choice,"Which of the following best explains why neutrinos produced by the Sun would be the best way to observe the state of fusion? W) Neutrinos have a mean free path greater than that of photons X) Neutrinos have a mean free path less than that of photons Y) Neutrinos are affected by cosmic redshift, whereas photons are not Z) Neutrinos are not affected by cosmic redshift, whereas photons are ",W) Neutrinos have a mean free path greater than that of photons,C:\Users\va648\PycharmProjects\ScibowlScrim-Backend\External Packets\Prometheus\Ignis DE4
Biology,Multiple Choice,Dr. Tyler diagnoses a patient and isolates the causative agent of the disease. He notes that the causative agent does not contain peptidoglycan . Which of the following diseases does the patient definitely NOT have?  W) Chlamydia  X) Flu  Y) Malaria  Z) Syphilis ,Z) Syphilis,Short Answer,Order the following three pigments by increasing distance traveled during paper chromatography using a nonpolar mobile phase: 1) Chlorophyll A; 2) Chlorophyll B; 3) Beta-Carotene. ,"2, 1, 3",C:\Users\va648\PycharmProjects\ScibowlScrim-Backend\External Packets\Prometheus\Ignis DE4
