category,tossup_type,tossup_question,tossup_answer,bonus_type,bonus_question,bonus_answer,parent_packet
Energy,Multiple Choice,"Scientists at Idaho National Laboratory are working with NASA on the Perseverance Rove hn6yr, part of the Mars 2020 mission. One of the rover’s functions is to map the topological features of Mars such as outflow channels and valley networks. What process most likely created these features? W) Aeolian X) Fluvial Y) Geothermal Z) Tectonic",X) FLUVIAL ,Short Answer,Scientists at Pacific Northwest National Laboratory have discovered that iron oxide nanoparticles can catalyze the conversion of carbon dioxide to form syngas. What are the two major components of syngas?,"CARBON MONOXIDE, HYDROGEN",LOST
Earth and Space,Multiple Choice,What was the main problem with Wegner’s theory of continental drift? W) Fossils were not accepted as evidence by contemporary scientists X) There was no mechanism for continental drift Y) Catastrophism better explained the position of continents Z) Contemporary scientists did not have access to paleomagnetism,X) THERE WAS NO MECHANISM FOR CONTINENTAL DRIFT ,Multiple Choice,Which of the following locations is NOT a volcanic arc? W) Aleutian Islands X) Ryukyu Islands Y) Hawaiian Islands Z) Cascade Range,Y) HAWAIIAN ISLANDS,LOST
Math,Short Answer,"Sally and Joe are running on a circular 20 meter track in opposite directions from the same starting point. Joe runs at 2 meters per second, while Sally runs 1 meter per second faster than Joe. How many meters will Joe have run when they first meet again on the track?",8 ,Short Answer,"What is the standard deviation of the following list of 5 numbers: 2, 4, 5, 8, 11.",√10,LOST
Chemistry,Multiple Choice,Which of the following molecular geometries does not have a steric number of 4? W) Square planar X) Tetrahedral Y) Trigonal pyramidal Z) See-saw,Y) TRIGONAL PYRAMIDAL ,Short Answer,What is the oxidation state of the carbonyl carbon atom in acetone?,+2,LOST
Physics,Short Answer,"Albert throws a 3 kilogram ball at a 45 degree angle with an initial velocity of 49 meters per second. In meters, what is the horizontal distance the ball travels before hitting the ground?",245 ,Short Answer,What is the angular resonant frequency of a series circuit containing two 8 farad capacitors and one 9 henry inductor?,1/6,LOST
Biology,Multiple Choice,Which of the following structures in seeds represents the terminus of the hypocotyl and is the embryonic root? W) Coleoptile X) Coleorhiza Y) Plumule Z) Radicle ,Z) RADICLE ,Multiple Choice,Which of the following statements is NOT true about ecosystems? W) Species diversity is quantified by species richness and relative abundance X) Moderate levels of disturbance foster the greatest amount of species diversity Y) Biomass always decreases as the trophic level increases in biomass pyramids Z) The amount of energy available always decreases as trophic levels increases in a food pyramid,Y) BIOMASS ALWAYS DECREASES AS THE TROPHIC LEVEL INCREASES IN BIOMASS PYRAMIDS,LOST
Energy,Multiple Choice,"Scientists at Los Alamos National Laboratory are studying the formation of the early universe. What fundamental force was the first to separate from the other three, prior to the grand unification epoch? W) Weak nuclear X) Strong nuclear Y) Gravitational Z) Electromagnetic",Y) GRAVITATIONAL ,Short Answer,Scientists at SLAC National Accelerator Laboratory are studying how to create compact medical imaging machines. What type of medical imaging utilizes radioactive fluorodeoxyglucose to monitor activity in the brain?,POSITRON EMISSION TOMOGRAPHY SCAN (ACCEPT: PET SCAN),LOST
Earth and Space,Short Answer,"According to Bowen’s reaction series, what is the last feldspar group to crystallize?","POTASSIUM FELDSPAR (ACCEPT: ORTHOCLASE, ADULARIA) ",Short Answer,The bottom of glaciers slide over the bed due to meltwater under the ice acting as a lubricant. What is the name of this movement?,BASAL SLIP,LOST
Math,Short Answer,What is the second partial derivative with respect to x of the expression 4x2y + 6xy2?,8y ,Short Answer,"What is the inradius of a triangle with side lengths of 4, 6, and 8 in simplest radical form?",√15 / 3,LOST
Physics,Short Answer,"Expressing your answer in terms of time t, what is the power of a 2F capacitor at a given time if the current at any given time is ? t4 2",8/3 t5  ,Short Answer,"Ashish put some glowing dots on the moon which glow at 820 nm. If we want to see these dots from earth, which are 0.001 radians apart in our field of view, what diameter should we make the aperture of our telescope? Give your answer to 1 significant figure.",1 mm,LOST
Biology,Short Answer,The myelencephalon in the fetus develops into what structure in the adult brain?,MEDULLA OBLONGATA (ACCEPT: MEDULLA) ,Short Answer,"2,4-dichlorophenoxyacetic acid, an auxin based herbicide, is sprayed into a field containing multiple different plants. By name or number, identify all the following three plants in the field that would die: 1) Roses; 2) Corn; 3) Sugarcane.",1 ONLY (Roses),LOST
Chemistry,Multiple Choice,What functional group is produced when an amide is heated in the presence of thionyl chloride? W) Amine X) Acid chloride Y) Nitrile Z) Imine ,Y) NITRILE ,Short Answer,Order the following three halide substituents in increasing rate of reaction for nucleophilic aromatic substitution: 1) Fluoride; 2) Chloride; 3) Iodide.,"2, 3, 1",LOST
Math,Short Answer,"An arithmetic sequence of positive integers has first term x and xth term x3. If the common difference between terms is 30, what is the first term of the sequence?",5 ,Short Answer,"Consider the 2 by 2 matrix with first row 4, 7, and second row –6, 2. What is the trace of the inverse of this matrix?",3/25,LOST
Earth and Space,Short Answer,Order the following three minerals in increasing stability against chemical weathering: 1) Anorthite; 2) Albite; 3) Gibbsite.,"2, 1, 3 ",Short Answer,"When plutons rise, they can dislodge pre-existing blocks of rock that sink down into the magma and eventually become xenoliths. What is this process called?",STOPING,LOST
Energy,Multiple Choice,"Scientists at Oak Ridge National Lab have been using various spectroscopic techniques to examine a range of materials, including both geological and biological materials. Which of the following spectroscopic techniques would the scientists be most likely to use to study the iron-57 composition of a sample of kaolinite? W) Nuclear magnetic resonance spectroscopy X) Electron paramagnetic resonance spectroscopy Y) Infrared spectroscopy Z) Mossbauer spectroscopy",Z) MOSSBAUER SPECTROSCOPY ,Short Answer,Scientists at Thomas Jefferson National Laboratory are studying the beta decay in tritium. Tritium is weakly radioactive because it has too many neutrons compared to protons in its nucleus. Identify all the following four nuclear processes that would occur in an atom below the nuclear dripline: 1) Beta minus decay; 2) Beta plus decay; 3) Electron capture; 4) Alpha decay.,1 ONLY,LOST
Physics,Multiple Choice,"In the Debye model for the heat capacity of solids at low temperatures, solids can be modeled as vibrating phonons trapped in a 3D box. The energy of a phonon in the Debye model is dependent on what power of the length of the box? W) -2 X) -1 Y) 0 Z) 1",X) -1 ,Short Answer,What is the moment of inertia of a long rod whose length is the cube root of the quantity pi/2 about an axis perpendicular to its endpoint if its linear mass density as a function of distance to the endpoint is cos(x3)?,1/3,LOST
Biology,Short Answer,What metal is the cofactor for lignin-biosynthetic enzymes in plants?,COPPER ,Short Answer,Identify all of the following locations in which one would NOT expect the predominant component of the cytoskeleton to be an intermediate filament: 1) Nuclear lamina; 2) Cell cortex; 3) Filopodia.,2 AND 3,LOST
Chemistry,Short Answer,What effect explains the greater stability of oximes and hydrazones compared to normal imines against hydrolysis due to the stronger nucleophilicity of hydrazine and hydroxylamine compared to normal amines?,ALPHA EFFECT ,Short Answer,Identify all of the following three quantum models for which the energy gap between consecutive energy levels remains constant with increasing quantum number: 1) Particle in a box; 2) Quantum harmonic oscillator; 3) Rigid rotor.,2 ONLY,LOST
Math,Short Answer,For how many integer values of x is evenly divisible x x3 + 2 − 1 by ? x − 2,2 ,Short Answer,"Alice, Brett, and Charlie each pick a real number on the open interval from 0 to 1 uniformly and at random. What is the probability that the sum of the squares of Alice and Brett’s numbers is less than the square of Charlie’s number?",π/12,LOST
Earth and Space,Multiple Choice,What type of Karst topography do landscapes consisting of a maze of isolated steep-sided hills that rise abruptly from the ground demonstrate? W) Interstratal X) Tower Y) Cockpit Z) Polje,X) TOWER ,Multiple Choice,Where along the Earth’s interior does the geotherm plateau? W) Asthenosphere X) Moho Y) Transition zone Z) Lower mantle,X) MOHO,LOST
Energy,Short Answer,"Scientists at Pacific Northwest National Laboratory are studying the gut microbiome. One common gram-positive probiotic, Lactobacillus, is left a deep violet after applying a gram stain. What element added during gram-staining acts as a mordant to fix the crystal violet onto the peptidoglycan?",IODINE  ,Short Answer,"Scientists at Princeton Plasma Physics Laboratory are using interferometry to measure Langmuir waves, rapid oscillations of the electron density in conducting media such as plasmas. What quasiparticle is used to quantize the oscillations within the plasma?",PLASMON,LOST
Physics,Short Answer,Kaons are a group of mesons that are predicted to be unstable without accounting for the conservation of what quantity?,STRANGENESS ,Short Answer,"Classify each of the following four particles as either fermions, scalar bosons or vector bosons: 1) Kaon; 2) Top quark; 3) Tau antineutrino; 4) Photon","1) VECTOR BOSON, 2) FERMION, 3) FERMION, 4) VECTOR BOSON.",LOST
Biology,Multiple Choice,During what phase of meiosis is a secondary oocyte frozen until ovulation? W) Prophase I X) Prophase II Y) Metaphase I Z) Metaphase II,Z) METAPHASE II ,Short Answer,Identify all of the following three statements that are true concerning vision: 1) The optic nerve synapses with the lateral geniculate nuclei on the way to the cerebellum; 2) Vision is integrated in the occipital lobe; 3) Opponent color cells are sensitive to a wide range of colors in contrast to being excitable by specific wavelengths of colors.,1 AND 2,LOST
Chemistry,Multiple Choice,Which of the following explains why the endo product is kinetically favored over the exo product in a Diels–Alder reaction? W) The endo transition state is formed more rapidly by quantum tunneling X) The endo transition state is formed more rapidly by a higher steric factor Y) The endo transition state is stabilized by secondary orbital interactions Z) The endo transition state is stabilized by decreased steric hindrance,Y) THE ​ENDO​ TRANSITION STATE IS STABILIZED BY SECONDARY ORBITAL INTERACTIONS ,Short Answer,The Mitsunobu reaction is a powerful one-pot reaction that can be used to substitute hydroxyl groups with nucleophiles such as acetate. Identify all of the following three statements that are true about the Mitsunobu reaction: 1) The azodicarboxylate acts as a catalyst; 2) The phosphine acts as an reducing agent; 3) The stereochemistry of an alpha chiral center in the alcohol is retained.,2 ONLY,LOST
Math,Short Answer,Evaluate the remainder when 201 choose 100 is divided by 101.,1 ,Short Answer,"An isosceles trapezoid is circumscribed around a circle with radius 5. Given one of the bases has length 8, what is the length of the opposite base?",25/2,LOST
Earth and Space,Short Answer,"Thought to have resulted from the fragments of past asteroid collisions, what term is given to families of asteroids that share similar semimajor axis, eccentricity, and orbital inclination, and as a result do not collide?",HIRAYAMA FAMILIES ,Short Answer,Identify all of the following three statements that are true about forbidden lines: 1) They are the result of metastable levels; 2) They only occur in low density gas; 3) They are emission spectra.,ALL,LOST
Energy,Multiple Choice,Scientists at Ames National Laboratory selectively hydrogenated nitrate to ammonia using a binary nickel phosphide catalyst. Which of the following is the most likely rate determining step of this process? W) Adsorption of hydrogen on the catalyst surface X) Dissociation of hydrogen on the catalyst surface Y) Adsorption of nitrate on the catalyst surface Z) Addition of hydrogen to nitrate on the catalyst surface,X) DISSOCIATION OF HYDROGEN ON THE CATALYST SURFACE ,Multiple Choice,Scientists at Oak Ridge National Laboratory are studying the strength of biomaterials to advance the manufacturing of synthetic materials. The cross-linking of what amino acid gives lignin its strength? W) Phenylalanine X) Cysteine Y) Methionine Z) Proline,W) PHENYLALANINE,LOST
Physics,Multiple Choice,"Which of the following expressions is equal to the relativistic energy of a particle with mass m, velocity v, and Lorentz factor γ ? W) γmv X) γmc Y) γmv2 Z) γmc2",Z) ​γmc​2 ,Short Answer,"A spring has a potential energy function -e^(-x^2) . At x=0, what is the angular frequency of oscillation if a mass of 9 kg is attached?",1/3,LOST
Biology,Short Answer,What hormone within amphibians signal for metamorphosis?,THYROXINE (ACCEPT: T4) ,Multiple Choice,"Exposure of what phospholipid on the extracellular leaflet signals for apoptosis in humans? W) Phosphatidylserine X) Phosphatidylcholine Y) Phosphatidylethanolamine Z) Phosphatidylinositol 4,5-bisphosphate",W) PHOSPHATIDYLSERINE,LOST
Chemistry,Short Answer,Identify all of the following three statements that are true about hard soft acid-base theory: 1) Hard acids have lower LUMOs than soft acids; 2) Hard bases favor conjugate addition when reacted with unsaturated carbonyls; 3) Hard bases prefer elimination over substitution at saturated carbons.,3 ONLY ,Short Answer,"Cyclohexa-1,3-dione reacts with methyl vinyl ketone in the presence of catalytic sodium hydroxide and is heated. Identify all of the following three statements that are true: 1) A 5 membered ring is formed as the major product of this reaction; 2) The first step of the reaction mechanism is an aldol condensation; 3) Heating the reaction favors the thermal cyclic product over the kinetic cyclic product.",3 ONLY,LOST
Math,Multiple Choice,Which of the following is equivalent to ln(− ) n(3) i l + π X) n(3) i l − π Y) n(3) n(πi) l * l Z) ln(3) / ln(πi),W) n(3)il+ π  ,Short Answer,"Five members of a science bowl team are sitting around a circular table that contains 12 seats. Abiding with social distancing guidelines, no two team members are allowed to sit adjacent to one another. How many ways are there for the team to sit around the table, given rotations are not considered distinct?",504,LOST
Earth and Space,Multiple Choice,Which of the following pairs does NOT include two minerals which are polymorphs of each other? W) Calcite and aragonite X) Beryl and malachite Y) Andalusite and sillimanite Z) Sphalerite and wurtzite,X) BERYL AND MALACHITE ,Short Answer,Identify all of the following three statements that are true concerning T-Tauri stars: 1) They are often surrounded by stellar cocoons; 2) They are variable stars with very irregular intervals of pulsation; 3) They are found in globular clusters containing T associations.,1 AND 2,LOST
Energy,Short Answer,"Scientists at Ames National Laboratory mapped the quantum phase transitions in a superconductor. Using a nitrogen vacancy magnetoscope, the scientists accurately measured what distance, which characterizes the depth at which a magnetic field becomes e times as strong as the magnetic field at the surface? 1",LONDON PENETRATION DEPTH ,Short Answer,"Scientists at Los Alamos National Laboratory used photocathodes covered by a one atom thick graphene layer to increase the efficiency of quantum semiconductors, such as quantum dots. Identify all of the following three statements that are true about quantum dots: 1) The bandgap is directly proportional to the radius of the quantum dot; 2) The absorption spectrum is redshifted due to stokes shift; 3) Quantum dots display quantum confinement due to their small size.",2 AND 3,LOST
Biology,Short Answer,Chondrocytes secrete collagen and what glycosaminoglycan that contributes to the tensile strength of cartilage?,CHONDROITIN (ACCEPT: CHONDROITIN SULFATE) ,Multiple Choice,"Alex’s father had Huntington’s disease but his mother does not. His father’s genotype was determined to be heterozygous after his death. His mother’s family has no history of the disease. If the penetrance of Huntington’s is 75%, what is the probability that Alex has the gene for Hungtinton’s though he does not exhibit the phenotype? W) 1/2 X) 3/8 Y) 5/9 Z) 2/7",Z) 2/7,LOST
Math,Short Answer,"Alex has 4 different bags of tea he can drink over the course of 5 days, two of which are identical. How many different ways can he select which days he will drink his four bags of tea?",375 VISUAL ,Short Answer,"Shown in the image is a fractal composed of inscribed squares and circles. The shaded region consists of the area inside each square and outside of its inscribed circle. If the largest square has side length 1, determine the total area of the shaded region.",2 – π/2,LOST
Physics,Multiple Choice,"In a 2-dimensional universe, which of the following quantities is a vector field?  W) Laplacian of electric potential X) Gradient of divergence of electrical field Y) Curl of magnetic field Z) Electric potential",X) GRADIENT OF DIVERGENCE OF ELECTRICAL FIELD VISUAL ,Short Answer,The diagram depicts a certain type of particle accelerator. Answer the following two questions about this machine. I. What is the name for this type of particle accelerator? II. Suppose the machine is used to accelerate spherical angry birds with a charge of +2 Coulombs and mass of 0.5 kg with an applied magnetic field of 6 Tesla. At what angular frequency must the applied electric field oscillate to accelerate these birds?,"1) CYCLOTRON, 2) 24 RADIANS PER SECOND ( π hertz) 12",LOST
Earth and Space,Short Answer,"By name or number, identify all the following three statements that are true about supernovas: 1) The radioactive decay of nickel-56 is the main source of energy that is emitted by the supernova remnant after the initial explosion; 2) Type Ia supernovae may leave behind neutron stars; 3) Type Ic supernovae exhibit characteristic non-ionized helium lines.",1 ONLY ,Short Answer,Identify all of the following three statements that are true concerning subduction zone: 1) Low angle subduction of the Farallon plate created the basin and range territory; 2) High angle subduction zones are associated with increased seismicity; 3) Volcanic gaps are most commonly associated with calc - alkaline magmas.,1 AND 3,LOST
Energy,Short Answer,"Scientists at Argonne National Laboratory are studying the mechanism of diabetes drugs by imaging the 3D shape of human glucagon receptor, a known metabotropic receptor. These receptors initiate signal transduction via a metabolic pathway. By name or number, identify all the following three receptors that are also metabotropic receptors: 1) Nicotinic receptor; 2) Muscarinic receptor; 3) Beta-adrenergic receptors.",2 AND 3 ,Multiple Choice,Scientists at Lawrence Berkeley National Laboratory are researching how non-pathogenic bacteria become pathogenic to prevent the onset of infections like cholera. One facet of their research is the interaction of DNA-binding regulatory proteins that change gene expression. Which of the following DNA-binding motifs is most commonly found within dimerizing bacterial transcription factors? W) Helix-loop-helix X) Helix-turn-helix Y) Zinc finger Z) Leucine zipper,X) HELIX-TURN-HELIX,LOST
Chemistry,Short Answer,Order the following three nitrogen heterocycles by increasing pKa of their conjugate acid: 1) Pyrrole; 2) Pyridine; 3) Pyrimidine.,"3, 2, 1 VISUAL ",Short Answer,"Answer the following three questions about the MO diagram of a metal complex shown in the image: I. What is the geometry around the metal center in the complex? II. Classify the LUMO as either bonding, nonbonding, or antibonding. III. What is the spin multiplicity of the complex?",1) OCTAHEDRAL; 2) NONBONDING; 3) 1 (ACCEPT: SINGLET),LOST
Biology,Multiple Choice,Which of the following explains why intrafusal muscles contract after extrafusal muscles have contracted? W) To achieve optimal length X) To maintain tension on stretch receptors Y) To reduce eccentric contraction Z) To stabilize connection to tendon,X) TO MAINTAIN TENSION ON STRETCH RECEPTORS ,Short Answer,Identify all of the following three compounds that are able to reduce disulfide bonds to two cysteine residues in proteins:1) Sodium dodecyl sulfate; 2) Dithiothreitol; 3) Beta-mercaptoethanol.,2 AND 3,LOST
Math,Short Answer,What is the fifth derivative of the function at ? (x) e f = x 5 x x = 0,120 ,Short Answer,"Kira writes the first N positive integers on a chalkboard, then counts the number of digits on the chalkboard. She observes that the total number of digits on the chalkboard is divisible by N. What is the smallest possible three digit value of N?",108,LOST
Physics,Short Answer,An electron travels with velocity 3.2 m/s perpendicular to a magnetic field of 9.1 T. What is the radius of the resulting circular path in meters and in scientific notation with one significant figure?,2 x 10^-12 m ,Short Answer,"The density of the atmosphere can be modeled as a function of height from the surface, ρ(h) = e−h What is the force of buoyancy on a 4x4x4m cube sitting on the ground in terms of the gravitational acceleration g?",16 6e )g ( − 1 −4,LOST
Earth and Space,Multiple Choice,White smokers in Lost City generate heat when peridotite reacts exothermically with water to form what rock? W) Serpentinite X) Goethite Y) Geyserite Z) Tachylite,W) SERPENTINITE VISUAL ,Short Answer,Shown in the diagram is a cross sectional profile of an ophiolite complex. Answer the following 3 questions concerning the diagram: I. Layer 3 is massive gabbro. Give the number for each of the following layers: 1) Peridotite; 2) Sheeted Dikes; 3) Pillow Basalts. II. Order the following three in order from shallowest to deepest: 1) Petrological Moho; 2) Seismic Moho; 3) Sheeted Diabase. III. What is the name of the process of the accretion of oceanic crust on top of continental crust?,"I) 1 = 4; 2 = 2; 3 = 1; II) 3, 2, 1; 3) OBDUCTION",LOST
Energy,Multiple Choice,"Scientists at the National Renewable Energy Laboratory are using various spectroscopic techniques to analyze organic compounds in batteries, such as 13C NMR. However unlike proton NMR, peaks in 13C NMR can not be integrated to yield  meaningful data. Which of the following best explains why 13C NMR signals can not be integrated? W) Slow relaxation time of 13C nuclei X) High nuclear shielding of 13C nuclei Y) Low nuclear spin of 13C nuclei Z) Low coupling constant of 13C nuclei",W) SLOW RELAXATION TIME OF ​13​C NUCLEI ,Short Answer,Scientists at Lawrence Livermore National Laboratory are using seismic data to model the interior of the Earth. Identify all the following three statements that are true regarding the seismic waves: 1) Rayleigh waves roll perpendicular to the ground; 2) Refracted p-waves from the Moho move faster than direct p-waves towards a seismograph station; 3) The Gutenberg discontinuity demarcates the boundary between the mantle and outer core.,ALL,LOST
Chemistry,Short Answer,"By name or number, identify all of the following three reducing agents capable of reducing an amide: 1) BH3; 2) NaBH4; 3) LiAlH4.",1 AND 3 ,Short Answer,"Answer the following two questions about the rigid rotor model for the diatomic molecule dihydrogen: I. What is the ratio of the wavelength of the first absorption to the wavelength of the second absorption of dihydrogen? II. What is the ratio of the energy of the first absorption of dihydrogen to the energy of the first absorption of dideuterium, consisting of two deuterium atoms?",1) 2; 2) 2,LOST
Biology,Multiple Choice,"To what phylum of bacteria does the causative agent of syphilis, Treponema pallidum, belong to? W) Proteobacteria X) Spirochetes Y) Actinobacteria Z) Chlamydias",X) SPIROCHETES VISUAL ,Short Answer,"Depicted in the image are three different forms of DNA, the A-form, B-form and Z-form. Answer the following two questions about the depicted images: I. Which form of DNA is the most common in biological systems? II. Match the three forms of DNA with the numbers in the image.",1) B-FORM; 2) 1 IS A-FORM; 2 IS B-FORM; 3 IS Z-FORM,LOST
Math,Short Answer,"Let A be a 3 by 4 matrix with a rank of 3, and let T be the linear transformation defined by T(v) = Av. By number, identify all of the following three statements that are true about the linear transformation: 1) The codomain of T is R4; 2) T is bijective; 3) The range of T is the same as its codomain.",3 ONLY ,Short Answer,"A sequence a of integers is defined by , and , a a 0 = 1 1 = 0 . How many of the first 2020 terms in this sequence are one more than a a n+2 = 2 + a n+1 − a n multiple of three?",1010,LOST
Physics,Short Answer,"The x component of a particle’s displacement can be described as a function of time by r(t) = 4sin(t) , where t is time. Identify all of the following three statements that could be true about the motion of the particle: 1) It is moving in a circle; 2) It is moving between two points; 3) The acceleration is never decreasing.",ALL VISUAL ,Short Answer,"Shown in the image is a device used to measure small oscillations in magnetic fields via the use of a Josephson junction, which can be effectively modeled as a superconducting qubit. Answer the following two questions concerning this device: I. What is the common name for this device? II. The Josephson junction makes use of the tunneling of which composite bosons?",1) SQUID; 2) COOPER PAIR (ACCEPT: BCS PAIR),LOST
Earth and Space,Short Answer,"In contrast to nutation which is caused by small 1 deviations in the axial tilt of the moon, what other phenomena observes the wobbling of the moon due to shifts in the observer’s perspective?",LIBRATION  VISUAL ,Short Answer,Shown in the picture is the surface of Mercury. Answer the following two questions concerning the image shown: I. What is the name for the feature that the picture exhibits? II. What relationship does the feature have in relation to the Caloris crater? W) Concurrent X) Antipodal Y) Surrounding Z) No relationship,I) LINEATED TERRAIN; II) X) ANTIPODAL 1 Gideon likes to NUTation,LOST
Energy,Short Answer,"Scientists at Oak Ridge National Laboratory built a novel microscope to view biological systems such as cell membranes. Cell membranes, along with aqueous solutions of detergents and other lipids, belong to what class of liquid crystals which are layered structures that result from the action of a solvent on a liquid?",LYOTROPIC ,Short Answer,Scientists at SLAC National Accelerator Laboratory are using the Fermi Space Telescope to look for the effects of dark matter within the universe. What is the name for the dark matter candidate that exists and strongly interacts with each other via gravity but poorly with normal matter? W) Axions X) MACHOs Y) WIMPs Z) SIMPs,Z) SIMPS 2,LOST
Chemistry,Multiple Choice,Which of the following elements has a greater ionization energy than its respective diatomic compound? W) Lithium X) Beryllium Y) Boron Z) Carbon,X) BERYLLIUM  ,Short Answer,"By name or number, identify all of the following three factors that increase selectivity for elimination over substitution: 1) Using a harder nucleophile; 2) Using a more hindered nucleophile; 3) Using a more basic nucleophile. 2 Gideon is in fact NOT a SIMP, but he is a simp ",ALL,LOST
