category,tossup_type,tossup_question,tossup_answer,bonus_type,bonus_question,bonus_answer,parent_packet
Math,Short Answer,What is the slope of the line perpendicular to the line described by the equation 4x + 7y = 9?,7/4,Short Answer,"Four six sided dice, with each face numbered from one to six, are rolled. What is the probability that the numbers rolled are all different?",5/18,Lexington
Biology,Short Answer,NADH is a high energy molecule produced during glycolysis from the oxidation of glucose. What other high energy currency molecule is produced in glycolysis?,ATP,Short Answer,"Indicate, by name or number, all of the following statements that are characteristic of protostomes. 1) Cell divisions along plantes diagonal to the vertical axis; 2) Determinant cleavage; 3) Blastopore forms the mouth.",ALL,Lexington
Earth and Space,Short Answer,Identify all of the following three statements that are true about malachite: 1) It contains copper as the primary cation; 2) It is commonly found around limestone deposits; 3) It is sensitive to acids.,ALL,Multiple Choice,Which of the following objects possesses both lineated and jumbled terrain? W) Moon X) Jupiter Y) Pluto Z) Eris,W) MOON,Lexington
Chemistry,Short Answer,The Ostwald process uses ammonia produced by the Haber process and oxidizes it to form what important acid in industry?,NITRIC ACID,Short Answer,Order the following three bonds in increasing bond dissociation energy: 1) O-O single bond; 2) C-O double bond; 3) C-C single bond.,"1, 3, 2",Lexington
Physics,Multiple Choice,Which of the following describes how the charge stored in a capacitor decreases over time? W) Linearly X) Logarithmically Y) Quadratically Z) Exponentially,Z) EXPONENTIALLY,Short Answer,What phenomenon is observed at very low temperatures due to the lack of resistance to the movement of electron pairs through a crystal lattice?,SUPERCONDUCTIVITY,Lexington
Biology,Short Answer,What is the name for the vestigial nucleus left behind by secondary endosymbiosis?,NUCLEOMORPH,Short Answer,Which organism is Taq polymerase derived from?,​THERMUS AQUATICUS,Lexington
Math,Short Answer,How many terminal zeros does 56! have?,13,Short Answer,An arithmetic sequence has first term x and xth term x3 such that the common difference is 30. What is the 15th term in the sequence?,75,Lexington
Earth and Space,Short Answer,"During an earthquake, what term is given to the displacement of the active fault that is comparable to the rebound of a rubber band?",FAULT SLIP,Multiple Choice,Which of the following types of star clusters is bound by gravity? W) Open cluster X) T association Y) OB association Z) R association,W) OPEN CLUSTER,Lexington
Chemistry,Multiple Choice,Which of the following solutions will have the greatest boiling point? W) 0.1 molal solution of lithium bromide X) 0.2 molal solution of aluminum phosphate Y) 0.3 molal solution of sucrose Z) 0.4 molal solution of phosphoric acid,X) 0.2 MOLAL SOLUTION OF ALUMINUM PHOSPHATE,Short Answer,What is the geometry around the metal center in meridional and facial coordinate complex isomers?,OCTAHEDRAL,Lexington
Physics,Multiple Choice,A monatomic ideal gas is expanded adiabatically such that its pressure decreases by a factor of two. By what factor does its volume increase? W) Less than one X) Between one and two Y) Two Z) Greater than two,X) BETWEEN ONE AND TWO,Short Answer,"What is the frequency in hertz of an RLC circuit with a 2 ohm resistor, 8 millihenry inductor, and 1.8 microfarad capacitor? Express your answer in scientific notation with two significant figures.",.3,Lexington
Math,Multiple Choice,Which of the following is neither an even nor odd function? W) y = cos(x) X) y = cosh(x) Y) y = tan(x) Z) y = floor of x,Z) Y = FLOOR OF X,Short Answer,"Kira writes the first N positive integers on a chalkboard, then counts the number of digits on the chalkboard. She observes that the total number of digits on the chalkboard is divisible by N. What is the smallest possible three digit value of N?",108,Lexington
Biology,Short Answer,Scwhann cells and oligodendrocytes are glial cells that secrete what lipid?,MYELIN,Short Answer,Which region of the hypothalamus has inputs from specific melanopsin containing photoreceptors and is responsible for coordinating the circadian rhythm?,SUPRACHIASMATIC NUCLEUS,Lexington
Chemistry,Short Answer,What is the coordination number of each gold atom in the face centered cubic unit cell of gold?,12,Short Answer,Order the following three acids in increasing pKa: 1) Formic acid; 2) Ethanoic acid; 3) Chloro-ethanoic acid.,"3, 1, 2",Lexington
Earth and Space,Short Answer,Order the following three mass movements in increasing speed: 1) Creep; 2) Earthfall; 3) Rockfall.,"1, 2, 3",Short Answer,"In North America, the Labrador ice sheet started to grow over northeastern Canada and the Keewatin ice sheet began to form over northwestern Canada. These ice sheets eventually merged to form which ice sheet?",LAURENTIDE ICE SHEET,Lexington
Physics,Multiple Choice,What is the ratio of the De Broglie wavelength of a neutron to that of an alpha particle? W) 1/4 X) 1/2 Y) 2 Z) 4,Z) 4,Short Answer,"A 1 kilogram block initially at rest slides down a frictionless ramp inclined at an angle of 45 degrees. If g equals 10 meters per second squared, what is the work in joules done on the block by gravity between 3 and 5 seconds after the block starts sliding?",400,Lexington
Chemistry,Multiple Choice,Which of the following is NOT a part of the Born Haber cycle to calculate the lattice enthalpy of magnesium oxide? W) Enthalpy of sublimation of magnesium X) Second ionization energy of oxygen Y) First ionization energy of magnesium Z) Enthalpy of formation of magnesium oxide,X) SECOND IONIZATION ENERGY OF OXYGEN,Short Answer,The reaction PCl3 (g) + Cl2 (g) → PCl5 (g) is carried out in a closed reaction vessel. Identify all of the following three changes to the vessel that will shift the reaction to the right: 1) Increasing volume; 2) Increasing temperature; 3) Removing PCl5 as it is produced.,3 ONLY,Lexington
Math,Short Answer,How many positive integers less than or equal to 1600 are divisible by 4 and 5 but not both?,640,Short Answer,"Sean is solving a Rubik’s cube! However, he would like to create his own cube by painting the six faces of a blank cube he bought off ebay. How many ways can he paint the six sides of the cube with six different colors?",30,Lexington
Biology,Short Answer,Kaguya experienced a myocardial infarction due to lovesickness. Identify all of the following three organs that have likely experienced ischemia: 1) Heart; 2) Brain; 3) Muscles.,ALL,Short Answer,Gifting of roses is often seen as romantic in the Western world. Identify all of the following three statements that are true of roses: 1) They are herbaceous; 2) They are monocots; 3) They are gymnosperms.,NONE,Lexington
Earth and Space,Short Answer,The 21 centimeter radio emission line is a forbidden spectral line of what element in the interstellar medium?,HYDROGEN (DO NOT ACCEPT: IONIZED HYDROGEN),Short Answer,Order the following three components of the interstellar medium in increasing temperature: 1) Molecular clouds 2) Intercloud medium; 3) Coronal gas.,"1, 2, 3",Lexington
Physics,Short Answer,What type of pale blue radiation is emitted when a charged particle passing through a medium travels faster than the speed of light in that medium?,CHERENKOV RADIATION,Short Answer,"Danny holds his 2 kilogram computer motionless up against a wall with a coefficient of static friction of ½ between the computer and the wall by applying a force F at an angle of 30 degrees to the wall upwards. To the nearest multiple of ten, what is the magnitude of F in newtons?",20,Lexington
Biology,Short Answer,From what layer of the root do lateral roots emerge?,PERICYCLE,Short Answer,Daniel suffers an injury to his anterior pituitary such that it over secretes all anterior pituitary hormones and doesn’t respond to negative feedback. Identity all of the following three hormones that would be found in excess: 1) LH; 2) ADH; 3) HGH.,1 AND 3,Lexington
Math,Short Answer,What is the geometric mean of the solutions of the cubic equation 2x3 + 3x2 - 6x + 54 = 0?,-3,Short Answer,"Alex is playing pokemon go on a 4 by 4 coordinate grid. He starts at (2,2), and can then take random one unit steps in any of the four cardinal directions. What is the probability that he will catch an oshawott at one of the four vertices of the grid in at most six steps?",3/128,Lexington
Chemistry,Short Answer,What is the molecular geometry of the central sulfur atom in SOCl2?,TRIGONAL PYRAMIDAL,Short Answer,"Radical chlorination and bromination of alkanes produce primary and secondary alkyl halides, respectively, due to differences in the structure of their transition states. What postulate explains this difference based on the chlorination and bromination of alkanes being exothermic and endothermic, respectively?",HAMMOND’S POSTULATE,Lexington
