category,tossup_type,tossup_question,tossup_answer,bonus_type,bonus_question,bonus_answer,parent_packet
Energy,Multiple Choice,"Researchers in the Johnson group at MIT are creating biodegradable polymers to be used in drug delivery. One method that they have discovered involves the introduction of a silyl ether group, which is also often used to protect alcohol groups. Which of the following reagents would not be suitable for removing a silyl ether group? W) OH– X) H3O+ Y) TBAF Z) HF ",W) OH–,Multiple Choice,"Researchers in the Buchwald group at MIT are de- signing new methods for the formation of carbon-nitrogen bonds, such as those in amines. Typically, the Boc and Fmoc groups are used to pro- tect amine groups by decreasing their reactivity. Under what conditions can the Boc and Fmoc groups be removed? Assume that everything is conducted under aqueous conditions. W) Both protecting groups are removed under acidic conditions X) Boc is removed under acidic conditions, while Fmoc is removed under basic conditions Y) Boc is removed under basic conditions, while Fmoc is removed under acidic conditions Z) Both protecting groups are removed under basic conditions ","X) Boc is removed under acidic conditions, while Fmoc is removed under basic conditions",MIT 2020 round 10
Chemistry,Multiple Choice,"Anton decides to make a solution of ammonium nitrate by dissolving some of the white solid in some water at room temperature. As the solid ammonium nitrate dissolves, Anton notices that the solution begins to grow very cold. Which of the following statements is true about the spontaneity of this reaction? W) The dissolution is spontaneous only at high temperatures X) The dissolution is spontaneous only at low temperatures Y) The dissolution is always spontaneous Z) The dissolution is never spontaneous ",W) The dissolution is spontaneous only at high temperatures,Short Answer,"By name or number, arrange the following four carboxylic acid derivatives in order of increasing reactivity: 1) Acyl chloride 2) Amide 3) Ester 4) Acid anhydride ","2, 3, 4, 1",MIT 2020 round 10
Physics,Short Answer,"Indicate, by name or number, all of the following three statements that are true of the quantum harmonic oscillator: 1) The energy levels are evenly spaced 2) The energy eigenfunctions are symmetric about the origin 3) The energy eigenfunctions are orthogonal and complete ",1 and 3,Multiple Choice,"For a column of air in a constant gravitational ﬁeld, molecules of oxygen can be found at a height of zero with a probability density of 1/3 and at a height of h with a probability density of 1/6. What is the probability density of ﬁnding molecules of oxygen at a height of 2h? W) 1/12 X) 1/18 Y) 1/36 Z) 1/72 ",W) 1/12,MIT 2020 round 10
Biology,Short Answer,"The strain of inﬂuenza virus that causes swine ﬂu is also known by the moniker H1N1, where the H and N represent viral surface proteins. What are the names of these H and N proteins respectively? ","Hemagglutinin, neuraminidase",Multiple Choice,Which of the following is derived from the hindbrain in embryonic development? W) Telencephalon X) Myelencephalon Y) Diencephalon Z) Mesencephalon ,X) Myelencephalon,MIT 2020 round 10
Earth and Space,Multiple Choice,Which of the following gases is NOT a signiﬁcant component of Pluto’s atmosphere? W) H2O X) N2 Y) CH4 Z) CO ,W) H2O,Multiple Choice,Which of the following statements about the factors aﬀecting stream ﬂow velocity is NOT true? W) Flow velocity tends to decrease from the head to the mouth of the stream X) An increase in channel size increases the ﬂow velocity Y) An increase in channel slope increases the ﬂow velocity Z) An increase in discharge increases the ﬂow velocity ,W) Flow velocity tends to decrease from the head to the mouth of the stream,MIT 2020 round 10
Chemistry,Multiple Choice,"Which of the following is used as a Breathalyzer oxidant, due to the green color that results in the presence of alcohols? W) Permanganate X) Dichromate Y) Ozone Z) Persulfate ",X) Dichromate,Short Answer,Arrange the following four types of solid structures in increasing order of packing eﬃciency: 1) Diamond lattice 2) Face centered cubic 3) Body centered cubic 4) Simple cubic ,"1, 4, 3, 2",MIT 2020 round 10
Biology,Multiple Choice,Which of the following is a type of water-conducting cell? W) Sieve cells X) Companion cells Y) Tracheids Z) Sclereids ,Y) Tracheids,Multiple Choice,Transcription factors can often be split into DNA- binding and activation domains. Scientists exploit this fact to study protein interac- tions in which of the following assays? W) ChIP-seq X) Proximity ligation Y) Yeast two-hybrid Z) Phage display ,Y) Yeast two-hybrid,MIT 2020 round 10
Physics,Short Answer,"In semiconductors, the application of an electric ﬁeld penetrates deeply, resulting in an alteration in conductivity known as what eﬀect? ",Field eﬀect,Short Answer,A particle moving in the xy-plane has Lagrangian L = ˙x2 + ˙y2 − αx Energy 2) x component of momentum 3) y component of momentum ,1 and 3 ,MIT 2020 round 10
Math,Short Answer,"Giving your answer in simplest radical form, rationalize the denominator of the following expression: 1/",(3√49 +3√14 +3√4)/5,Multiple Choice,What is the expected number of times one must toss a weighted coin with a 2/3 probability of coming up heads to get two consecutive heads? W) 3/2 X) 9/4 Y) 8/3 Z) 15/4 ,Z) 15/4,MIT 2020 round 10
Biology,Multiple Choice,Which histone subunit is NOT part of the core his- tone? W) H1 X) H2A Y) H3 Z) H4 ,W) H1,Short Answer,"By name or number, identify all of the following four hormones that are amines: 1) Epinephrine 2) Melatonin 3) Thyroxine 4) Calcitonin ","1, 2, 3",MIT 2020 round 11
Math,Short Answer,What is the value of N if a regular polygon with N sides has an interior angle of 175 degrees? ,72,Multiple Choice,What is the remainder when 2020200 is divided by 19? W) 4 X) 6 Y) 14 Z) 17 ,Z) 17,MIT 2020 round 11
Energy,Short Answer,"Researchers in the Buchwald group at MIT are interested in developing next-generation ligands. To this end, they are employing organometal- lic coupling chemistry in order to generate ligands that are constrained in rotation about single bonds by steric eﬀects. What form of isomerism does this cause? ",Atropisomerism,Short Answer,"Researchers in the Wendlandt group at MIT are devel- oping new selective, catalytic reactions. One example of a stereoselective reaction is the electrocyclic ring closure reaction. By name or number, identify each of the following electrocyclic ring-closing reactions that use a disrotatory stereochemical course: 1) Thermal ring closure of a six-pi electron system 2) Photochemical ring closure of a four-pi electron system 3) Photochemical ring closure of a six-pi electron system ",1 and 2,MIT 2020 round 11
Earth and Space,Short Answer,"By name or number, identify all of the following three statements that are TRUE of type 1a supernovae: 1) They are typically more luminous than type II supernovae 2) Their luminosity peaks are primarily due to the decay of nickel-56 3) They are typically seen near regions of active star formation ",1 and 2,Short Answer,What common metamorphic index mineral forms from clay minerals as a result of contact metamorphism? ,Chlorite,MIT 2020 round 11
Chemistry,Short Answer,"Acetone, a volatile liquid, is placed in a sealed con- tainer with a movable piston at room temperature. After letting the pressure in the container rise to acetone’s vapor pressure, the piston is pushed down and the volume of the container is decreased. By name or number, identify all of the following three statements that are true about the container after the volume is decreased: 1) The amount of liquid inside the container remains the same 2) The pressure inside the container has decreased 3) The pressure inside the container has increased ",None of them,Multiple Choice,Which of the following diagrams depicts how the standard free energy of formation for compounds varies with temperature? W) Frost-Ebsworth Diagram X) Latimer Diagram Y) Ellingham Diagram Z) Slater Diagram ,Y) Ellingham Diagram,MIT 2020 round 11
Physics,Multiple Choice,Which of the following gives the ratio between the energy density of the electric ﬁeld of an electromagnetic wave to the energy density of the magnetic ﬁeld energy density? W) 1/2 X) 1 Y) 2 Z) 4 ,X) 1,Short Answer,"Indicate, by name or number, all of the following three statements that are true of the electric ﬁeld of an ideal dipole: 1) The divergence is zero everywhere but the origin 2) The strength of the electric ﬁeld falls oﬀ as 1/r2 3) The electric ﬁeld points radially outward ",1 only,MIT 2020 round 11
Earth and Space,Multiple Choice,"Which of the following best explains the 21 centimeter line commonly used in radio astronomy to detect the galactic interstellar medium? W) In neutral hydrogen, very high electron energy levels are close together, so a low-energy photon is emitted in a transition between levels X) In molecular hydrogen, rotational energy is quantized with small diﬀerences between levels, so a low-energy photon is emitted when the rotation changes Y) In neutral hydrogen, ground state electrons have a slightly higher energy when the spin is anti-aligned with that of the proton than when it is aligned, so a low-energy photon is emitted when the spin ﬂips Z) In neutral hydrogen, ground state electrons have a slightly higher energy when the spin is aligned with that of the proton than when it is anti-aligned, so a low-energy photon is emitted when the spin ﬂips ","Z) In neutral hydrogen, ground state electrons have a slightly higherenergy when the spin is aligned with that of the proton than when it is anti-aligned,so a low-energy photon is emitted when the spin ﬂips",Multiple Choice,"Bob the Boulder is studying the local geology of MIT, and notices that as he walks in any direction away from campus, he encounters the same series of rock strata. Taking a sample of each, he determines that the one furthest from MIT has crystals containing the isotopes Uranium-238 and Lead-206 in equal proportions, while the rocks closest to MIT have the isotopes Uranium-235 and Lead-207 in equal proportions. Which of the following structures could MIT be sitting in the middle of? W) Anticline X) Syncline Y) Dome Z) Basin ",Z) Basin,MIT 2020 round 11
Math,Multiple Choice,"If Albert ﬂips a fair coin 8 times, what is the probability he ﬂips more heads than tails? W) 43/128 X) 93/256 Y) 1/2 Z) 93/128 ",X) 93/256,Multiple Choice,Which of the following is closest to the probability of getting more than 55 heads when ﬂipping a fair coin 100 times? W) 5% X) 10% Y) 15% Z) 20% ,Y) 15%,MIT 2020 round 11
Physics,Multiple Choice,"An inﬁnitely long charged cylindrical shell rotates with constant angular velocity. Which of the following best describes the magnetic ﬁeld generated by the shell? W) Linear with r inside the shell, zero outside the shell X) Linear with r inside the shell, decays as 1/r2 outside the shell Y) Constant inside the shell, zero outside the shell Z) Constant inside the shell, decays as 1/r2 outside the shell ","Y) Constant inside the shell, zero outside the shell",Short Answer,"By name or number, identify all of the following three statements which must be true regarding wavefunctions: 1) Wavefunctions must be continuous 2) The derivative of wavefunctions must be continuous 3) The wavefunction for an even potential must be even ",1 only,MIT 2020 round 11
Biology,Multiple Choice,At what stage of mitosis do microtubules start con- necting to chromosome kinetochores? W) Prophase X) Prometaphase Y) Metaphase Z) Anaphase ,X) Prometaphase,Short Answer,"By name or number, identify all of the following 4 viruses that have double stranded genetic material: 1) Adenovirus 2) Inﬂuenza virus 3) Parvovirus 4) Rotavirus ",1 and 4,MIT 2020 round 11
Chemistry,Short Answer,"By name or number, arrange the following three radicals in increasing stability: 1) Vinyl radical 2) Allyl radical 3) Tertbutyl radical ","1, 3, 2",Multiple Choice,"According to Bent’s rule, the distribution of s and p character in nitrogen’s hybrid orbitals in NH3 is not an even sp3 for all orbitals. Which of the following statements best describes how the hybrid orbital containing the lone pair changes to stabilize the molecule? W) It has increased s character, and the energy of the bonds are lowered. X) It has increased s character, and the energy of the lone pair is lowered. Y) It has increased p character, and the energy of the bonds are lowered. Z) It has increased p character, and the energy of the lone pair is lowered. ","X) It has increased s character, and the energy of the lone pair is lowered.",MIT 2020 round 11
Energy,Short Answer,"Researchers in the Gore group at MIT are studying the- oretical ecology, using mathematical tools to model populations. Some populations exhibit a minimal critical population size, under which they will not survive. This is an example of what type of eﬀect? ",Allee eﬀect (accept: strong Allee eﬀect),Short Answer,"Researchers in the Yaﬀe group at MIT are stugying signaling pathways, especially in the context of cancer. Which of the following signal pathways is unlikely to be used for communication between two spatially separated cell populations? W) RTK signaling X) Notch signaling Y) JAK-STAT signaling Z) Wnt signaling ",X) Notch signalling,MIT 2020 round 11
Math,Multiple Choice,What is the largest possible real domain of the following function: f= sinX) Y) Z) ∪ ,"Z) (0, 1) ∪ (1, ∞)",Short Answer,An ant on the coordinate plane is at the origin and wishes to reach the point and has radius 1. What is the shortest possible distance the ant can walk to reach its destination without entering the interior of the disk? ,2 √ 3 + π/3,MIT 2020 round 11
Energy,Multiple Choice,"Researchers in the Plasma Science and Fusion Center at MIT have recently recieved renewed funding for stellarator fusion experiments in Germany at the Max Planck Institute of Plasma Physics. Which of the following choices provides accurate reasoning for why stellarators may sometimes prove to be more useful than tokamaks in fusion experiments? W) Stellarators do not require a current to be driven through the plasma itself to generate the magnetic ﬁeld containing the plasma X) More particles in tokamaks are in unconﬁned orbits than in stellarators, and thus overall lose more energy to diﬀusion Y) The eﬀective plasma volume in stellarators is much larger than those of toka- maks, on average Z) Stellarators in the trapped-electron mode routinely results in inwards transport ﬂux, while it is stabilized for tokamaks ",W) Stellerators do not require a current to be driven through the plasmaitself to generate the magnetic ﬁeld containing the plasma,Short Answer,"Researchers at the MIT Atomic, Molecular, and Optical Physics Group are looking into ways of using Bose-Einstein Condensate as coolants to establish superﬂuidity in certain materials by forcing them into a state in which their atoms are non-interacting and occupy a nonzero degeneracy pressure, even at 0 Kelvin. What is the name for this state of matter? ",Fermi gas,MIT 2020 round 11
Physics,Multiple Choice,Physicists use the small angle approximation to sim- plify many calculations. The small angle approximation is NOT useful for analyzing which of the following systems? W) Simple pendulum X) Spherical mirrors Y) Fresnel diﬀraction Z) Fraunhofer diﬀraction ,Y) Fresnel diﬀraction,Short Answer,"By name or number, identify all of the following three statements that are true of paramagnetic materials: 1) They have negative magnetic susceptibility 2) The induced magnetization is directly proportional to magnetic ﬁeld strength 3) They exhibit hysteresis loops ",2 only,MIT 2020 round 11
Earth and Space,Short Answer,"Radio observations of the Crab Nebula show that the gas in the nebula is emitting radiation, thought to be caused by high speed electrons spiralling through the magnetic ﬁeld produced by the central neutron star. What is the term for this radiation? ",Sychrotron radiation,Short Answer,"An array of radio telescopes has an eﬀective diameter of 12 kilometers. When observing at a wavelength of 12 centimeters, what is its angular resolution, in arcseconds to the nearest tenth? ",2.5 arcseconds,MIT 2020 round 11
Biology,Multiple Choice,What polymer primarily strengthens xylem in vas- cular plants? W) Cellulose X) Amylopectin Y) Amylose Z) Lignin ,Z) Lignin,Short Answer,Order the following ﬁve cells of the retina from ventral to dorsal. 1) Horizontal cells 2) Amacrine cells 3) Rods and cones 4) Ganglion cells 5) Pigmented retinal epithelium ,"4, 2, 1, 3, 5",MIT 2020 round 11
